ID,TITRE,TYPE,SSTYPE,CATEGORIE,STYLE,EVENEMENT,THEME1,THEME2,THEME3,RAISONSOCIALE,ADRESSE1,ADRESSE2,ADRESSE3,CODEPOSTAL,COMMUNE,PAYS,TEL1,TEL2,FAX,EMAIL1,EMAIL2,WEB1,WEB2,GPSX,GPSY,SIRET,APE,RCS,DESCRIPTIF_TITRE_FRANCAIS,DESCRIPTIF_SSTITRE_FRANCAIS,DESCRIPTIF_CHAPEAU_FRANCAIS,DESCRIPTIF_ARTICLE_FRANCAIS,DESCRIPTIF_TITRE_ANGLAIS,DESCRIPTIF_SSTITRE_ANGLAIS,DESCRIPTIF_CHAPEAU_ANGLAIS,DESCRIPTIF_ARTICLE_ANGLAIS,DESCRIPTIF_TITRE_ALLEMAND,DESCRIPTIF_SSTITRE_ALLEMAND,DESCRIPTIF_CHAPEAU_ALLEMAND,DESCRIPTIF_ARTICLE_ALLEMAND,DESCRIPTIF_TITRE_ESPAGNOL,DESCRIPTIF_SSTITRE_ESPAGNOL,DESCRIPTIF_CHAPEAU_ESPAGNOL,DESCRIPTIF_ARTICLE_ESPAGNOL,DESCRIPTIF_TITRE_ITALIEN,DESCRIPTIF_SSTITRE_ITALIEN,DESCRIPTIF_CHAPEAU_ITALIEN,DESCRIPTIF_ARTICLE_ITALIEN,PHOTO1,PHOTO2,PHOTO3,CLASSEMENT,LABEL1,LABEL2,LABEL3,ANIMAUX,HANDICAPE,TOURISME_HANDICAP1,TOURISME_HANDICAP2,TOURISME_HANDICAP3,TOURISME_HANDICAP4,DATEDU1,DATEAU1,DATEDU2,DATEAU2,DATEDU3,DATEAU3,DATEDU4,DATEAU4,DATEDU5,DATEAU5,CONTACT1TYPE,CONTACT1CIVI,CONTACT1NOM,CONTACT1PRENOM,CONTACT1FONCTION,CONTACT1EMAIL,CONTACT1TEL,CONTACT1FAX,CONTACT2TYPE,CONTACT2CIVI,CONTACT2NOM,CONTACT2PRENOM,CONTACT2FONCTION,CONTACT2EMAIL,CONTACT2TEL,CONTACT2FAX,CHAINE1,CHAINE2,CHAINE3,CHAINE4,LANGUE1,LANGUE2,LANGUE3,LANGUE4,LANGUE5,MODE_PAIEMENT1,MODE_PAIEMENT2,MODE_PAIEMENT3,MODE_PAIEMENT4,MODE_PAIEMENT5,MODE_PAIEMENT6,MODE_PAIEMENT7,MODE_PAIEMENT8,MODE_PAIEMENT9,MODE_PAIEMENT10,EQUIPEMENT1,EQUIPEMENT2,EQUIPEMENT3,EQUIPEMENT4,EQUIPEMENT5,EQUIPEMENT6,EQUIPEMENT7,EQUIPEMENT8,EQUIPEMENT9,EQUIPEMENT10,EQUIPEMENT11,EQUIPEMENT12,EQUIPEMENT13,EQUIPEMENT14,EQUIPEMENT15,EQUIPEMENT16,EQUIPEMENT17,EQUIPEMENT18,EQUIPEMENT19,EQUIPEMENT20,SERVICE1,SERVICE2,SERVICE3,SERVICE4,SERVICE5,SERVICE6,SERVICE7,SERVICE8,SERVICE9,SERVICE10,SERVICE11,SERVICE12,SERVICE13,SERVICE14,SERVICE15,SERVICE16,SERVICE17,SERVICE18,SERVICE19,SERVICE20,ACTIVITE1,ACTIVITE2,ACTIVITE3,ACTIVITE4,ACTIVITE5,CONFORT1,CONFORT2,CONFORT3,CONFORT4,CONFORT5,GROUPES_ACCEPTES,GROUPE_MAX,GROUPE_MIN,NBRE_SALLE_REUNION,NBRE_PERSONNES_SALLE,SUPERFICIE_SALLE,TARIF1_LIBELLE,TARIF1_MIN,TARIF1_MAX,TARIF2_LIBELLE,TARIF2_MIN,TARIF2_MAX,TARIF3_LIBELLE,TARIF3_MIN,TARIF3_MAX,TARIF4_LIBELLE,TARIF4_MIN,TARIF4_MAX,TARIF5_LIBELLE,TARIF5_MIN,TARIF5_MAX,TARIF6_LIBELLE,TARIF6_MIN,TARIF6_MAX,TARIF7_LIBELLE,TARIF7_MIN,TARIF7_MAX,TARIF8_LIBELLE,TARIF8_MIN,TARIF8_MAX,TARIF9_LIBELLE,TARIF9_MIN,TARIF9_MAX,TARIF10_LIBELLE,TARIF10_MIN,TARIF10_MAX,TARIF11_LIBELLE,TARIF11_MIN,TARIF11_MAX,TARIF12_LIBELLE,TARIF12_MIN,TARIF12_MAX,TARIF13_LIBELLE,TARIF13_MIN,TARIF13_MAX,TARIF14_LIBELLE,TARIF14_MIN,TARIF14_MAX,TARIF15_LIBELLE,TARIF15_MIN,TARIF15_MAX,TARIF16_LIBELLE,TARIF16_MIN,TARIF16_MAX,TARIF17_LIBELLE,TARIF17_MIN,TARIF17_MAX,TARIF18_LIBELLE,TARIF18_MIN,TARIF18_MAX,TARIF19_LIBELLE,TARIF19_MIN,TARIF19_MAX,TARIF20_LIBELLE,TARIF20_MIN,TARIF20_MAX
FMACHA0080003166, fête de la Pentecôte et Brocante,Fêtes et Manifestations,Animation locale,Brocante,,,,,,,,Centre village,,8230,REGNIOWEZ,FRANCE,324541406,,,,,,,49.93706,4.429829,,,,Brocante et vide grenier,Regniowez dans les rues du village de 6h à 19h,,Fête et brocante les 3 jours du week end de Pentecôte de 9h à 22h.,,,,,,,,,,,,,,,,,http://cnstlltn.com/master/78116e4c-c409-40b0-9b11-760e3dc13db2/78116e4c-c409-40b0-9b11-760e3dc13db2_134.jpg,,,,,,,,,,,,,15/05/16,15/05/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,français,,,,,,,,,,,,,,,Aire de pique-nique,Parking,Salle d'animation,,,,,,,,,,,,,,,,,,Circuits touristiques,Espace jeux,Visite gratuite,,,,,,,,,,,,,,,,,,,,,,,Point d'eau potable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FMACHA0080010425, Marche Populaire Internationale,Fêtes et Manifestations,,Randonnée,,,,,,,,,,8150,AUBIGNY LES POTHEES,FRANCE,03.24.35 85 44,,,contact@ffsp.fr,,http://www.ffsp.fr,,49.77666,4.434973,,,,Marche populaire internationale,,Parcours de 10 et 20km et parcours adapté,Les départs s 'effectuent à partir de la salle à partir de 8 heures et jusque 14h. restauration et buvette sur place.,,,,,,,,,,,,,,,,,http://cnstlltn.com/master/280481a5-7e80-4495-ae52-f6afa01b8009/dsc02888fourmie77.jpg,,,,,,,,,,,,,24/04/16,24/04/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,français,,,,,Espèces,,,,,,,,,,Parking,Salle d'animation,,,,,,,,,,,,,,,,,,,Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,participant,2.00,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FMACHA0080000832, Fromage de chèvre  à la ferme pédagogique de Liart,Fêtes et Manifestations,Nature et détente,Jeux,,,Animaux,,,,,Ferme Pédagogique de Liart,,8290,LIART,FRANCE,324544833,,324544501,maison.thierache.08@wanadoo.fr,,http://www.ardennesmaisonnature.com,http://www.fermepedagogiqueliart.fr,49.76944,4.339847,,,,Fromage de chèvre à la ferme pédagogique de Liart,les mercredis pendant les vacances scolaires ,,La traite manuelle vous effectuerez et les différentes étapes de fabrication vous découvrirez. L'aprés midi de 14h à 17h suivit d'une collation offerte avec tout le groupeRéservation obligatoire et possible jusqu'au jour même.Les enfants sont obligatoirement accompagnés d'un adulte.,,,,,,,,,,,,,,,,,http://cnstlltn.com/master/d81207f0-26ae-4071-8877-aca2ab51194f/d81207f0-26ae-4071-8877-aca2ab51194f_134.jpg,,,,,,,,,,,,,06/04/16,06/04/16,13/07/16,13/07/16,27/07/16,27/07/16,10/08/16,10/08/16,24/08/16,24/08/16,,,,,,,,,,,,,,,,,,,,,français,,,,,Chèques,Chèques bancaires et postaux,Espèces,,,,,,,,Aire de pique-nique,Parking,Sur une exploitation agricole,,,,,,,,,,,,,,,,,,Bar,Circuits touristiques,Commerces 1ère nécessité,Médecin,Vente de produits touristiques,Vestiaire,Visites pédagogiques,,,,,,,,,,,,,,,,,,,Point d'eau potable,,,,,Y,,,,,,enfant,0.00,4.00,adulte,0.00,7.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FMACHA0080011926, La Regal'Balade ,Fêtes et Manifestations,,,,,,,,,,,,8460,LALOBBE,FRANCE,03 24 35 02 69,,,ot.cretes@orange.fr,,http://www.sud-ardennes-tourisme.com,,49.66794,4.375314,,,, La Regal'Balade ,,de 14h à 21h,"Balade commentée et gourmande avec visite et dégustation de produits du terroir sous forme d'une veillée nocturne.Balade : 2Balade + repas du terroir : 14Places limitées, réservation obligatoire auprès de l'Office de Tourisme.",,,,,,,,,,,,,,,,,http://cnstlltn.com/master/5c3ce2fc-a355-43d0-8633-c00b342d978e/balade.jpg,,,,,,,,,,,,,26/08/16,26/08/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,français,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FMACHA0080000182,11e  La Junivilloise ,Fêtes et Manifestations,Manifestation sportive,Compétition sportive,,,Course à pied,,,,,,,8310,JUNIVILLE,FRANCE,03 24 72 70 28,,,ch-cogniard@orange.fr,,http://piedaretourne.clubeo.com,,49.39732,4.38072,,,,11e  La Junivilloise ,,Départ : 10h de la course adultes,Course adultes de 10 km et la course découverte pour les jeunes et débutants de 3 kmTarif d'inscription : 10,,,,,,,,,,,,,,,,,http://cnstlltn.com/master/e5c7948b-1a2a-4e90-ba65-dc6e94f15189/junivilloise_2014_otpr+(9).jpg,http://cnstlltn.com/master/46140f6e-72ac-4740-9422-96f3bb540697/junivilloise_2014_otpr+(192).jpg,http://cnstlltn.com/master/b6df1188-a175-427b-ad67-cffe862aaa18/junivilloise_2014_otpr+(228).jpg,,,,,,,,,,,16/05/16,16/05/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,français,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FMACHA0080001490,12° Eco-festival rock Cabaret Vert,Fêtes et Manifestations,Musique,Festival,,,Bande dessinée,"Pop musique (rock, pop, rap, ...)",Théâtre de rue,,Avenue Louis Tirman,, ,8000,CHARLEVILLE MEZIERES,FRANCE,03 24 36 12 68,,,,,www.cabaretvert.com,,49.76136,4.71813,,,,12° Eco-festival rock Cabaret Vert,,Pass 4 jours pour les fans à 70 (hors camping) au lieu de 80 : offre valable jusqu'au 16 janvier -,"Personne naurait osé limaginer il y a 12 ans, mais lhistoire continue de sécrire de la plus belle des manières pour le Cabaret Vert : plus de 85 000 entrées en 2015 pour un festival hors-normes où communient tous les amoureux de la musique actuelle, de 7 à 107 ans ! Jusqu'à 4 générations d'une même famille quelquefois se retrouvent dans un festival hyper-supra-mega convivial et festif !Pour sa 12ème édition, l'Eco Festival Rock et Territoire va encore frapper fort avec une programmation ébouriffante ! Programme en cours d'élaboration !",,,,,,,,,,,,,,,,,http://cnstlltn.com/master/0a8281e8-e2d1-4e33-8bb8-701b11bc1fdb/cabaret+vert+2016.png,,,,,,,,Accès handicapés,,,,,25/08/16,28/08/16,,,,,,,,,Association,,SAUVAGE,Julien,,info@cabaretvert.com,03 24 41 87 83,,Autres,,SAUVAGE,Julien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FMACHA0080010289,13e course d'endurance moto-rétro,Fêtes et Manifestations,Manifestation sportive,Compétition sportive,,,,,,,Promenade des Isles,,,8300,RETHEL,FRANCE,,,,,,,,49.51503,4.383214,,,,13e course d'endurance de moto rétro,,samedi de 16h à 22h et dimanche de 10h à 16h aux Promenades des Isles,2 x 6 heures,,,,,,,,,,,,,,,,,http://cnstlltn.com/master/656f9903-80bd-4d40-867d-eddd7139fcc9/pict0323.jpg,,,,,,,,,,,,,16/04/16,17/04/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,français,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FMACHA0080005686,15e Concours complet d'équitation de la ville de Rethel,Fêtes et Manifestations,Manifestation sportive,Compétition sportive,,,,,,,Promenades des Isles,,,8300,RETHEL,FRANCE,03 24 38 52 87,,,contact@ahfc-rethel.fr,,http://www.ahfc-rethel.fr,,49.51503,4.383214,,,,15e Concours complet d'équitation de la ville de Rethel,,De 9h à 19h Promenade des Isles,"Ce parcours est reconnu parmi les plus beaux! Épreuves amateurs (trot et élevage), épreuves de club au complet et un concours de sauts dobstacles.",,,,,,,,,,,,,,,,,http://cnstlltn.com/master/9e37bc90-236a-400e-b06f-641f990ae713/concours_complet_2012_otpr+(186).jpg,,,,,,,,,,,,,06/06/15,07/06/15,15/05/16,15/05/16,,,,,,,,,,,,,,,,,,,,,,,,,,,français,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FMACHA0080004060,15e Festival du conte,Fêtes et Manifestations,Manifestation Culturelle,Spectacle,,,,,,,,,,8300,RETHEL,FRANCE,03 24 39 51 46,03 24 30 50 59,,,,,,49.50887,4.365349,,,,15e Festival du conte,,,"Un café de philosophie, spectacles de contes sont organisés dans des lieux conviviaux de Rethel comme les cafés, les bars, les brasseries et le théâtre.",,,,,,,,,,,,,,,,,http://cnstlltn.com/master/f86be1f4-1fab-42dc-b1c6-8cbd7c77063d/3_festival_conte_+2015_au_marcassin_otpr+(2)r.jpg,,,,,,,,,,,,,17/11/16,20/11/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,français,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FMACHA0080004770,16e Fête des enfants,Fêtes et Manifestations,Animation locale,Jeune public,,,,,,,,,,8300,NANTEUIL SUR AISNE,FRANCE,06 14 27 16 52,,,nanteuilanimation08@gmail.com,,http://fete-des-enfants-nanteuil.fr,,49.49939,4.29706,,,,16e Fête des enfants ,,De 10h à 18h dans les rues du village.,"Avec un passeport à 6 (tarif 2015), les enfants ont au choix plus de 80 ateliers à leur disposition : poneys, canoë-kayak, tir à l'arc, course de poissons rouges, jeux gonflables, badminton, ateliers de poterie, marionnettes, perles et bien d'autres . Restauration-buvette et brocante",,,,,,,,,,,,,,,,,http://cnstlltn.com/master/b0243f62-1f3f-4869-9f28-4cb5050317c2/fete_enfants_2015_otpr+(430)r.jpg,,,,,,,,,,,,,11/09/16,11/09/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,français,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
