"ID","TITRE","TYPE","SSTYPE","CATEGORIE","STYLE","EVENEMENT","THEME1","THEME2","THEME3","NB_PERSONNES_MAXI","NB_PERSONNES_MINI","RAISONSOCIALE","ADRESSE1","ADRESSE2","ADRESSE3","CODEPOSTAL","COMMUNE","PAYS","TEL1","TEL2","FAX","EMAIL1","EMAIL2","WEB1","WEB2","GPSX","GPSY","SIRET","APE","RCS","DESCRIPTIF_TITRE_FRANCAIS","DESCRIPTIF_SSTITRE_FRANCAIS","DESCRIPTIF_CHAPEAU_FRANCAIS","DESCRIPTIF_ARTICLE_FRANCAIS","DESCRIPTIF_TITRE_ANGLAIS","DESCRIPTIF_SSTITRE_ANGLAIS","DESCRIPTIF_CHAPEAU_ANGLAIS","DESCRIPTIF_ARTICLE_ANGLAIS","DESCRIPTIF_TITRE_ALLEMAND","DESCRIPTIF_SSTITRE_ALLEMAND","DESCRIPTIF_CHAPEAU_ALLEMAND","DESCRIPTIF_ARTICLE_ALLEMAND","DESCRIPTIF_TITRE_ESPAGNOL","DESCRIPTIF_SSTITRE_ESPAGNOL","DESCRIPTIF_CHAPEAU_ESPAGNOL","DESCRIPTIF_ARTICLE_ESPAGNOL","DESCRIPTIF_TITRE_ITALIEN","DESCRIPTIF_SSTITRE_ITALIEN","DESCRIPTIF_CHAPEAU_ITALIEN","DESCRIPTIF_ARTICLE_ITALIEN","PHOTO1","PHOTO2","PHOTO3","CLASSEMENT","LABEL1","LABEL2","LABEL3","ANIMAUX","HANDICAPE","TOURISME_HANDICAP1","TOURISME_HANDICAP2","TOURISME_HANDICAP3","TOURISME_HANDICAP4","DATEDU1","DATEAU1","DATEDU2","DATEAU2","DATEDU3","DATEAU3","DATEDU4","DATEAU4","DATEDU5","DATEAU5","CONTACT1TYPE","CONTACT1CIVI","CONTACT1NOM","CONTACT1PRENOM","CONTACT1FONCTION","CONTACT1EMAIL","CONTACT1TEL","CONTACT1FAX","CONTACT2TYPE","CONTACT2CIVI","CONTACT2NOM","CONTACT2PRENOM","CONTACT2FONCTION","CONTACT2EMAIL","CONTACT2TEL","CONTACT2FAX","CHAINE1","CHAINE2","CHAINE3","CHAINE4","LANGUE1","LANGUE2","LANGUE3","LANGUE4","LANGUE5","MODE_PAIEMENT1","MODE_PAIEMENT2","MODE_PAIEMENT3","MODE_PAIEMENT4","MODE_PAIEMENT5","MODE_PAIEMENT6","MODE_PAIEMENT7","MODE_PAIEMENT8","MODE_PAIEMENT9","MODE_PAIEMENT10","EQUIPEMENT1","EQUIPEMENT2","EQUIPEMENT3","EQUIPEMENT4","EQUIPEMENT5","EQUIPEMENT6","EQUIPEMENT7","EQUIPEMENT8","EQUIPEMENT9","EQUIPEMENT10","EQUIPEMENT11","EQUIPEMENT12","EQUIPEMENT13","EQUIPEMENT14","EQUIPEMENT15","EQUIPEMENT16","EQUIPEMENT17","EQUIPEMENT18","EQUIPEMENT19","EQUIPEMENT20","SERVICE1","SERVICE2","SERVICE3","SERVICE4","SERVICE5","SERVICE6","SERVICE7","SERVICE8","SERVICE9","SERVICE10","SERVICE11","SERVICE12","SERVICE13","SERVICE14","SERVICE15","SERVICE16","SERVICE17","SERVICE18","SERVICE19","SERVICE20","ACTIVITE1","ACTIVITE2","ACTIVITE3","ACTIVITE4","ACTIVITE5","CONFORT1","CONFORT2","CONFORT3","CONFORT4","CONFORT5","GROUPES_ACCEPTES","GROUPE_MAX","GROUPE_MIN","NBRE_SALLE_REUNION","NBRE_PERSONNES_SALLE","SUPERFICIE_SALLE","TARIF1_LIBELLE","TARIF1_MIN","TARIF1_MAX","TARIF2_LIBELLE","TARIF2_MIN","TARIF2_MAX","TARIF3_LIBELLE","TARIF3_MIN","TARIF3_MAX","TARIF4_LIBELLE","TARIF4_MIN","TARIF4_MAX","TARIF5_LIBELLE","TARIF5_MIN","TARIF5_MAX","TARIF6_LIBELLE","TARIF6_MIN","TARIF6_MAX","TARIF7_LIBELLE","TARIF7_MIN","TARIF7_MAX","TARIF8_LIBELLE","TARIF8_MIN","TARIF8_MAX","TARIF9_LIBELLE","TARIF9_MIN","TARIF9_MAX","TARIF10_LIBELLE","TARIF10_MIN","TARIF10_MAX","TARIF11_LIBELLE","TARIF11_MIN","TARIF11_MAX","TARIF12_LIBELLE","TARIF12_MIN","TARIF12_MAX","TARIF13_LIBELLE","TARIF13_MIN","TARIF13_MAX","TARIF14_LIBELLE","TARIF14_MIN","TARIF14_MAX","TARIF15_LIBELLE","TARIF15_MIN","TARIF15_MAX","TARIF16_LIBELLE","TARIF16_MIN","TARIF16_MAX","TARIF17_LIBELLE","TARIF17_MIN","TARIF17_MAX","TARIF18_LIBELLE","TARIF18_MIN","TARIF18_MAX","TARIF19_LIBELLE","TARIF19_MIN","TARIF19_MAX","TARIF20_LIBELLE","TARIF20_MIN","TARIF20_MAX"
"PNACHA0080000045","Ancienne carrières de pierres","Patrimoine naturel","Site naturel",,,,,,,,0,,"Au Bord de Meuse (vers Laifour)",,,8500,"ANCHAMPS","FRANCE",,,,,,,,"49.92459","4.679146",,,,"Anciennes Carrières de Pierres - Anchamps-Ardenne-France",,"Anciennes carrières de pierres au bord de la Meuse vers Laifour.","Les pierres étaient transportées sur des margotins, barques à fond plat.",,,,,,,,,,,,,,,,,,,,"Non classé",,,,"Animaux acceptés",,,,,,,,,,,,,,,,"Autres",,,,,"info@valdardennetourisme.com","03 24 42 92 42",,,,,,,,,,,,,,"français",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Y",,,,,,"ADULTE ET ENFANT","0.00","0.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PNACHA0080000060","Arboretum ","Patrimoine naturel",,,,,,,,,0,,,," ",8430,"GUIGNICOURT SUR VENCE","FRANCE","03 24 35 02 69",,,"ot.cretes@wanadoo.fr",,,,"49.68093","4.651802",,,,"ARBORETUM DE GUIGNICOURT",,,"Arboretum créé au début du 20ème siècle et réaménagé depuis par la Société d'Histoire Naturelle des Ardennes. On peut y observer une centaine d'espèces de plantes herbacées des Crêtes Préardennaises et 80 espèces d'arbres et arbustes différents.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PNACHA0080000034","Arboretum de  La Pipe qui fume ","Patrimoine naturel",,,,,,,,,0,,,," ",8120,"BOGNY SUR MEUSE","FRANCE","03 24 54 46 73","03 24 53 94 20",,,,"http://www.bognysurmeuse.fr","http://www.meuse-semoy-tourisme.com","49.8508","4.7678",,,,"ARBORETUM DE BOGNY SUR MEUSE",,,"LA PIPE QUI FUME : arboretum situé sur un espace d'une longueur de 1200 mètres offrant l'opportunité de découvrir et observer pas moins de 15 espèces d'arbres (chêne, frêne, hêtre, merisier, érable, orme, tremble...), 9 d'arbustes et arbrisseaux (houx, néflier, aubépine, prunellier...), 6 de fougères et 1 de plante vivace. Engagé sur le circuit balisé, chaque promeneur peut repérer toutes ces espèces grâce à un fascicule disponible à l'Office de Tourisme ainsi qu'à l'Hôtel de Ville.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PNACHA0080000052","Arboretum de Matton et Clémency","Patrimoine naturel","Parcs et jardins",,,,,,,,,,,," ",8110,"MATTON ET CLEMENCY","FRANCE","03 24 22 01 36",,,,,,,"49.66558","5.20262",,,,"Matton et Clémency's Arboretum",,"Entrée gratuite.Ouverture : Avril à Octobre.","Situé à l'orée du bois communal, l'arboretum de Matton et Clémency (labellisé  3 Fleurs ) vous accueille depuis 1996.La volonté d'un village de transformer un ancien dépôt d'ordure en un parc d'un hectare. Un étang, une passerelle, une pergola, un kiosque, une roue à aubes ont été réalisés par des habitants bénévoles.Présentant environ 150 essences, le parc obtient en 2003 le premier prix national de lArbre.","Arboretum de Matton et Clémency",,"Free admission. Open: April to October.","Located at the edge of the town forest, the Matton and Clemency arboretum (known as  3 Fleurs ) welcomes you since 1996.It was the desire of the village to transform a former garbage dump into a one hectare park.A pond, a bridge, a pergola, a kiosk, a water wheel were all made by volunteer residents.With about 150 species, the park won the first Prix National de lArbre in 2003.",,,,,,,,,,,,,"http://cnstlltn.com/master/670e5908-5490-481a-ba84-91c9b7fa0334/1287000516_2.jpg","http://cnstlltn.com/master/8e76dd4f-5a87-4956-bf55-6f6bac18b551/1287000516_3.jpg",,,,,,"Animaux acceptés","Accès handicapés",,,,,,,,,,,,,,,"Information",,"Mairie de Matton Clémency",,,"mattonm@wanadoo.fr","03 24 22 01 36",,,,,,,,,,,,,,"français",,,,,,,,,,,,,,,"Aire de pique-nique","Jardin","Parc","Parking","Sentiers balisés",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Entrée Gratuite","0.00","0.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PNACHA0080000064","Arboretum de Vendresse","Patrimoine naturel","Site naturel",,,,,,,,0,,,," ",8160,"VENDRESSE","FRANCE","03 24 35 02 69",,"03 24 35 02 89","ot.cretes@wanadoo.fr",,,,"49.60426","4.793472",,,,"ARBORETUM DE VENDRESSE",,,"Vous pourrez découvrir tout au long des 1730 mètres de cet arboretum les espèces locales d'arbres ainsi qu'un point de vue sur la vallée de la Bar. L'arboretum, balisé, est accessible par le chemin du Bois de la Vierge. D'après le livre   Guide de Découverte  , le chemin dit   du Bois de la Vierge   permet d'accéder à une crête d'où la vue est belle sur la vallée de la Bar. L'Arboretum présente de nombreux arbres remarquables d'espèces locales, ainsi qu'une étonnante   allée aux sapins   constituée, pour l'essentiel, d'immenses spécimens d'origine américaine.",,,,,,,,,,,,,,,,,"http://cnstlltn.com/master/44016583-7b1b-46d5-9dd5-defcdad6c2d0/arboretum+vendresse.jpg",,,,,,,,,,,,,,,,,,,,,,,"Renseignement/Information",,,"OFFICE DE TOURISME DES CR",,"ot.cretes@wanadoo.fr","03 24 35 02 69",,"Direction",,,"OFFICE DE TOURISME DES CR",,"ot.cretes@wanadoo.fr","03 24 35 02 69","03 24 35 02 89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PNACHA0080000068","Arboretum de Ville-sur-Lumes","Patrimoine naturel","Site naturel",,,,,,,,,,,,,8440,"VILLE SUR LUMES","FRANCE",,,,"arboretumdessarteaux@wanadoo.fr",,"http://pagesperso-orange.fr/ville-sur-lumes/",,"49.75528","4.797741",,,,"Arboretum de Ville sur Lumes",,"Parcours nature des Sarteaux","Situé sur d'anciennes pépinières et sur le site d'un vicus gallo-romain, l'arboretum des Sarteaux présente une vingtaine d'arbres originaires de notre région, des haies vives ainsi qu'un verger (essentiellement composé de variétés de pommes et de poires). Des panneaux explicatifs permettront au promeneur d'identifier chaque arbre. A découvrir également : un abri à insectes (pour accueillir bourdons, coccinelles, chrysopes ...).Les rendez-vous de l'arboretum sont fixés chaque premier samedi du mois de 9h à 12h.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"français",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PNACHA0080000021","Arboretum d'Elan","Patrimoine naturel","Parcs et jardins",,,,,,,,,,,," ",8160,"ELAN","FRANCE","03 24 37 25 85",,"03 24 54 89 20","contact@tourisme-sedan.fr","contact@charleville-tourisme.com",,,"49.66479","4.757229",,,,"ARBORETUM D'ELAN",,,"Situé dans la forêt domaniale d'Elan, autour du site de Saint Roger, cet arboretum de l'ONF vous permettra d'observer des arbres tels que le chêne, le hêtre, le charme, l'érable... et des arbustes comme le sureau ou le sorbier. Des bornes explicatives vous aideront à mieux reconnaître et comprendre ces espèces.A proximité la Chapelle St Roger et ses bassins d'agréments.",,,,,,,,,,,,,,,,,"http://cnstlltn.com/master/0a4e76b8-ea9b-4391-a484-745e3ce91046/0a4e76b8-ea9b-4391-a484-745e3ce91046_134.jpg",,,,,,,"Animaux acceptés",,,,,,,,,,,,,,,,"Renseignement/Information",,"OT PAYS DES SOURCES AU VAL DE BAR",,,"otpays.des.sources.@orange.fr","03.24.37.25.85",,"Autres",,"OT PAYS DES SOURCES AU VAL DE BAR",,,"otpays.des.sources.@orange.fr","03.24.37.25.85","03.24.54.89.20",,,,,,,,,,,,,,,,,,,,"Parking",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PNACHA0080000083","Au jardin de l'Abbatiale","Patrimoine naturel","Parcs et jardins",,,,,,,,,,"4, Porte de France",,,8210,"MOUZON","FRANCE",,,,,,,,"49.60552","5.075043",,,,"Au jardin de l'Abbatiale",,"Entrée gratuite.En été : du Lundi au Samedi de 9h à 18h et le dimanche de 10 à 12h.En hiver : du Lundi au Samedi de 10h à 17h.","A quelques pas de l'abbatiale de Mouzon, se trouve une ancienne abbaye de moines bénédictins. Fondée en 971 par l'archevêque de Reims, elle est composée de trois bâtiments : - un bâtiment principal (actuelle Maison de retraite), - un Colombier (Office de Tourisme) - de dépendances (Musée du Feutre).Jusqu'en 1671, les murailles de la ville ainsi qu'un fossé entourent le tout. Jusqu'en 1789, les moines vivent des produits des terres agricoles (données par larchevêque), de la forêt, des rivières, des moulins et des plantes aromatiques cultivées dans le jardin de l'abbaye.Après 1789, l'établissement est transformé en hospice civil, le jardin est conservé. Au fil du temps, il se transforme en jardin d'agrément, entretenu par le jardinier de la maison de retraite.","The abbey Garden",,"Free admission. Summer: Monday to Saturday from 9am to 6pm and Sunday from 10am to 12pm. Winter: Monday to Saturday from 10am to 5pm.","A few steps from the Abbey of Mouzon, there is a former abbey of Benedictine monks.Founded in 971 by the Archbishop of Reims, it is composed of three buildings:- a main building (currently a retirement home)- a dovecote (tourist office)- an outbuilding (felt museum).Until 1671, the city walls also had a surrounding moat.Until 1789, the monks lived on products grown from the agricultural land (given by the Archbishop), and from the forest, rivers, mills and herbs grown in the abbey garden.After 1789, the facility was transformed into a civil hospital, where the garden has been preserved. Over time, it has become a flower garden, maintained by the retirement home gardener.",,,,,,,,,,,,,"http://cnstlltn.com/master/36035104-595e-47fc-9b2b-c37d693e9c4d/36035104-595e-47fc-9b2b-c37d693e9c4d_134.jpg",,,,,,,,"Accès handicapés",,,,,,,,,,,,,,,"Information",,"LEGRIS","Genevieve",,"amismouzon@free.fr","03 24 26 10 64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jardin","Parc","Parking","Parking autocar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Point d'eau potable",,,,,"Y",,,,,,"Entrée Gratuite","0.00","0.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PNACHA0080000072","Avaux - village fleuri  2 fleurs ","Patrimoine naturel","Parcs et jardins",,,,,,,,,,,"6 Place Abbé Haguenin",,8190,"AVAUX","FRANCE","03 24 72 97 81",,"03 24 72 97 81","mairie.avaux@wanadoo.fr",,,,"49.46327","4.073747",,,,"Avaux - village fleuri  2 fleurs ",,,"La commune d'Avaux se situe à 25 km de Rethel, ses habitants sont appelés les  Avallois .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"français",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PNACHA0080000070","Barby - village fleuri   3 fleurs ","Patrimoine naturel","Parcs et jardins",,,,,,,,,,"Rue Gerson",,,8300,"BARBY","FRANCE",,"03 24 38 34 27",,,"03 24 38 34 27","barbyvillage@wanadoo.fr",,"49.51215","4.359789",,,,"Barby - village fleuri  3 fleurs ",,,"Barby est une commune de 369 habitants appelés les   Barbyons  . Levillage se situe à 5 km de Rethel. La commune est limitée au sud parl'Aisne, rivière poissonneuse, sinueuse et aux inondations hivernalesannuelles rendant le paysage marécageux et brumeux. Barby fait partie del'itinéraire touristique  La Route du Porcien .",,,,,,,,,,,,,,,,,"http://cnstlltn.com/master/594cba17-2eec-4457-ad37-ef84147124d4/594cba17-2eec-4457-ad37-ef84147124d4_134.jpg","http://cnstlltn.com/master/1bb17321-3351-4376-8363-ceb9efe2ecb1/1bb17321-3351-4376-8363-ceb9efe2ecb1_134.jpg","http://cnstlltn.com/master/d31486d3-0218-4cac-8bc8-0ccd9756f1f4/d31486d3-0218-4cac-8bc8-0ccd9756f1f4_134.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"français",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
