"ID","TITRE","TYPE","SSTYPE","CATEGORIE","STYLE","EVENEMENT","THEME1","THEME2","THEME3","RAISONSOCIALE","ADRESSE1","ADRESSE2","ADRESSE3","CODEPOSTAL","COMMUNE","PAYS","TEL1","TEL2","FAX","EMAIL1","EMAIL2","WEB1","WEB2","GPSX","GPSY","SIRET","APE","RCS","DESCRIPTIF_TITRE_FRANCAIS","DESCRIPTIF_SSTITRE_FRANCAIS","DESCRIPTIF_CHAPEAU_FRANCAIS","DESCRIPTIF_ARTICLE_FRANCAIS","DESCRIPTIF_TITRE_ANGLAIS","DESCRIPTIF_SSTITRE_ANGLAIS","DESCRIPTIF_CHAPEAU_ANGLAIS","DESCRIPTIF_ARTICLE_ANGLAIS","DESCRIPTIF_TITRE_ALLEMAND","DESCRIPTIF_SSTITRE_ALLEMAND","DESCRIPTIF_CHAPEAU_ALLEMAND","DESCRIPTIF_ARTICLE_ALLEMAND","DESCRIPTIF_TITRE_ESPAGNOL","DESCRIPTIF_SSTITRE_ESPAGNOL","DESCRIPTIF_CHAPEAU_ESPAGNOL","DESCRIPTIF_ARTICLE_ESPAGNOL","DESCRIPTIF_TITRE_ITALIEN","DESCRIPTIF_SSTITRE_ITALIEN","DESCRIPTIF_CHAPEAU_ITALIEN","DESCRIPTIF_ARTICLE_ITALIEN","PHOTO1","PHOTO2","PHOTO3","CLASSEMENT","LABEL1","LABEL2","LABEL3","ANIMAUX","HANDICAPE","TOURISME_HANDICAP1","TOURISME_HANDICAP2","TOURISME_HANDICAP3","TOURISME_HANDICAP4","DATEDU1","DATEAU1","DATEDU2","DATEAU2","DATEDU3","DATEAU3","DATEDU4","DATEAU4","DATEDU5","DATEAU5","CONTACT1TYPE","CONTACT1CIVI","CONTACT1NOM","CONTACT1PRENOM","CONTACT1FONCTION","CONTACT1EMAIL","CONTACT1TEL","CONTACT1FAX","CONTACT2TYPE","CONTACT2CIVI","CONTACT2NOM","CONTACT2PRENOM","CONTACT2FONCTION","CONTACT2EMAIL","CONTACT2TEL","CONTACT2FAX","CHAINE1","CHAINE2","CHAINE3","CHAINE4","LANGUE1","LANGUE2","LANGUE3","LANGUE4","LANGUE5","MODE_PAIEMENT1","MODE_PAIEMENT2","MODE_PAIEMENT3","MODE_PAIEMENT4","MODE_PAIEMENT5","MODE_PAIEMENT6","MODE_PAIEMENT7","MODE_PAIEMENT8","MODE_PAIEMENT9","MODE_PAIEMENT10","EQUIPEMENT1","EQUIPEMENT2","EQUIPEMENT3","EQUIPEMENT4","EQUIPEMENT5","EQUIPEMENT6","EQUIPEMENT7","EQUIPEMENT8","EQUIPEMENT9","EQUIPEMENT10","EQUIPEMENT11","EQUIPEMENT12","EQUIPEMENT13","EQUIPEMENT14","EQUIPEMENT15","EQUIPEMENT16","EQUIPEMENT17","EQUIPEMENT18","EQUIPEMENT19","EQUIPEMENT20","SERVICE1","SERVICE2","SERVICE3","SERVICE4","SERVICE5","SERVICE6","SERVICE7","SERVICE8","SERVICE9","SERVICE10","SERVICE11","SERVICE12","SERVICE13","SERVICE14","SERVICE15","SERVICE16","SERVICE17","SERVICE18","SERVICE19","SERVICE20","ACTIVITE1","ACTIVITE2","ACTIVITE3","ACTIVITE4","ACTIVITE5","CONFORT1","CONFORT2","CONFORT3","CONFORT4","CONFORT5","GROUPES_ACCEPTES","GROUPE_MAX","GROUPE_MIN","NBRE_SALLE_REUNION","NBRE_PERSONNES_SALLE","SUPERFICIE_SALLE","TARIF1_LIBELLE","TARIF1_MIN","TARIF1_MAX","TARIF2_LIBELLE","TARIF2_MIN","TARIF2_MAX","TARIF3_LIBELLE","TARIF3_MIN","TARIF3_MAX","TARIF4_LIBELLE","TARIF4_MIN","TARIF4_MAX","TARIF5_LIBELLE","TARIF5_MIN","TARIF5_MAX","TARIF6_LIBELLE","TARIF6_MIN","TARIF6_MAX","TARIF7_LIBELLE","TARIF7_MIN","TARIF7_MAX","TARIF8_LIBELLE","TARIF8_MIN","TARIF8_MAX","TARIF9_LIBELLE","TARIF9_MIN","TARIF9_MAX","TARIF10_LIBELLE","TARIF10_MIN","TARIF10_MAX","TARIF11_LIBELLE","TARIF11_MIN","TARIF11_MAX","TARIF12_LIBELLE","TARIF12_MIN","TARIF12_MAX","TARIF13_LIBELLE","TARIF13_MIN","TARIF13_MAX","TARIF14_LIBELLE","TARIF14_MIN","TARIF14_MAX","TARIF15_LIBELLE","TARIF15_MIN","TARIF15_MAX","TARIF16_LIBELLE","TARIF16_MIN","TARIF16_MAX","TARIF17_LIBELLE","TARIF17_MIN","TARIF17_MAX","TARIF18_LIBELLE","TARIF18_MIN","TARIF18_MAX","TARIF19_LIBELLE","TARIF19_MIN","TARIF19_MAX","TARIF20_LIBELLE","TARIF20_MIN","TARIF20_MAX"
"PCUCHA0080000054","Abbatial d'Elan","Patrimoine culturel","Site et monument historiques","Classé ou inscrit (CNMHS)",,,,,,,,," ",8160,"ELAN","FRANCE","03 24 37 25 85",,"03 24 54 89 20","otpays.des.sources@orange.fr",,"www.paysdessources.com",,"49.66479","4.757229",,,,"SITE ABBATIAL D'ELAN",,,"Site remarquable au coeur du Pays des Sources au Val de Bar, à l'emplacement d'une ancienne abbaye cistercienne. En bordure de forêt se dresse le manoir abbatial flanqué de quatre tours. Il comporte une charpente remarquable en forme de coque de bateau renversée (visites possibles pour les groupes uniquement et sur rendez-vous au 03.24.54.02.72). A proximité, la Manse Abbatiale, aujourd'hui, Office de Tourisme où vous pouvez découvrir une exposition , des photos et maquettes sur l'Abbaye d'Elan et les différentes communes de la comunauté de communes du Pays des Sources au Val de Bar (entrée libre) et l'Eglise Notre Dame d'Elan ouverte au public la journée (fermée cause travaux ). Ne manquez pas la magnifique balade autour de la Chapelle Saint Roger. Cette chapelle est située à l'emplacement d'une source rendue miraculeuse par le fondateur de l'abbaye - Saint Roger. Terminez la visite par l'arboretum proposé par l'ONF. A proximité pêcherie   Les Etangs d'Elan  .",,,,,,,,,,,,,,,,,"http://cnstlltn.com/master/bff488bd-4144-4cd9-b73e-695f6058b9d4/1287000243_4.jpg","http://cnstlltn.com/master/6aef4835-7036-48f3-9304-df9fb0d957cb/1287000243_7.jpg",,,,,,,,,,,,,,,,,,,,,,"Autres",,"VANHAM","Bénédicte",,"otpays.des.sources@orange.fr","03.24.37.25.85.",,"Renseignement/Information",,"OT PAYS DES SOURCES AU VAL DE BAR",,,"otpays.des.sources.@orange.fr","03.24.37.25.85","03.24.54.89.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PCUCHA0080000036","Abbaye Saint Remy de Laval Dieu","Patrimoine culturel","Site et monument historiques",,,,,,,,,," ",8800,"MONTHERME","FRANCE","03.24.54.46.73",,"03.24.54.87.88","ot.montherme@wanadoo.fr",,"http://www.meuse-semoy-tourisme.com",,"49.88497","4.730783",,,,"ABBAYE SAINT REMY DE LAVAL DIEU",,,"N'hésitez pas à venir découvrir le patrimoine baraquin très riche! Nichée dans la verdure en bordure de Semoy, l'abbaye de Laval-Dieu a été construite au XIIe siècle, puis restaurée à plusieurs reprises suite à des incendies. Les chanoines géraient les biens de l'abbaye et les faisaient prospérer, notamment grâce aux pêcheries de saumon, aux moulins, aux ardoisières ainsi qu'aux terres et bois qui étaient exploités jusqu'à la Révolution française. Nicolas OUDET et Remacle LISSOIR, les deux derniers pères-abbés, ont embellis l'intérieur que l'on peut toujours admirer en particulier le vitrail du choeur, la fresque rénovée en 1999, les stalles et les magnifiques lambris du XVIIIe.",,,,,,,,,,,,,,,,,"http://cnstlltn.com/master/66044a50-cfeb-436b-9269-f7c79927be0d/1868_montherme-abbaye-laval-dieu-3986-credit-laetis_1008x667.jpg",,,,,,,,,,,,,2010-07-01,2010-07-01,2010-07-03,2010-07-03,2010-07-06,2010-07-06,2010-07-08,2010-07-08,2010-07-10,2010-07-10,"Renseignement/Information",,"OT COMMUNAUTAIRE BOUCLES MEUSE ET SEMOY",,,"ot.montherme@wanadoo.fr","03.24.54.46.73","03.24.54.87.88","Autres",,"OT COMMUNAUTAIRE BOUCLES MEUSE ET SEMOY",,,"ot.montherme@wanadoo.fr","03.24.54.46.73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PCUCHA0080000144","Académie des Exercices","Patrimoine culturel","Site et monument historiques","Ville d'art et d'histoire",,,"Industrie","Militaire",,,"Rue Berchet",,,8200,"SEDAN","FRANCE","03 24 27 73 73",,,"contact@tourisme-sedan.fr",,,,"49.70002","4.951058",,,,"Académie des Exercices",,"Visible de lextérieur uniquement.","En 1607, Henri de la Tour dAuvergne fonda lAcadémie des Exercices. Environ 80 Huguenots sy entraînaient au maniement des armes et à lart de la guerre. Cette Académie sera fermée en 1685 par Louis XIV. En 1629, lhôtel particulier Lambermont est venu se greffer aux bâtiments de lAcadémie. En 1688, lAcadémie des Exercices et la maison de Lambermont sont rachetées par Denis Rousseau, un drapier. En 1726, lensemble devînt une fabrique royale de drap.Plus d'informations dans la brochure  Laissez vous conter Sedan ","Académie des Exercices",,"Visible from the outside only.","In 1607, Henri de la Tour d'Auvergne founded the Académie des Exercices. Around 80 Huguenots were trained here in weapons handling and warfare. The Academy was closed by Louis XIV in 1685. In 1629, the Lambermont mansion was grafted to the Academy buildings. In 1688, the Académie des Exercices and the Lambermont mansion were purchased by Denis Rousseau, a cloth merchant. In 1726, the whole construction became a royal linen factory.More information in the brochure  Laissez vous conter Sedan ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"français",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PCUCHA0080000016","former military riding school","Patrimoine culturel","Site et monument historiques","Classé ou inscrit (CNMHS)","XIXe siècle",,"Militaire",,,,"Place Jacques Sourdille",," ",8600,"GIVET","FRANCE","03 24 40 14 40",,"03 24 40 24 19",,,"www.lemanege.fr",,"50.1353","4.820809",,,,"Ancien manège militaire - Givet-Ardenne-France",,"Bâtiment construit en pierre bleue de Givet avec une toiture faite d'ardoises de Fumay. Datant du XIXe siècle (1826) il servait alors au dressage des chevaux et à la formation des cavaliers.","Le bâtiment fut réhabilité en 1994 en cinéma (Espace de Spectacles).Voici là l'occasion de découvrir l'intérieur de ce superbe édifice avec notamment l'impressionnante charpente d'origine en châtaignier d'une portée de 17 mètres.Toute une histoire à découvrir : http://www.lemanege.fr/le_manege_de_givet-323-Historique","former military riding school - Givet-Ardenne-France",,"This building is made with the local blue stone and the roof is made with slates coming from the old slate quarries of Fumay. The  MANEGE  dates from 19th century (1826). This riding school was built particularly for the army, for the training of the riders and horses.","Since 1994,  the Manège  is a cultural centre : Cinema, auditorium for concerts, plays...The opportunity to discover the inside of this superb building and in particular the impressive wood-frame of 17 metres high.Historic information : http://www.lemanege.fr/page.asp?rec=117",,,,,,,,,,,,,"http://cnstlltn.com/master/7a3c2ab9-518e-46d3-934f-5ccaf95b339e/7a3c2ab9-518e-46d3-934f-5ccaf95b339e_134.jpg","http://cnstlltn.com/master/5b67822b-bf4d-49fd-9de7-c08c640e7952/5b67822b-bf4d-49fd-9de7-c08c640e7952_134.jpg",,,,,,,,,,,,,,,,,,,,,,"Présidence",,"MENAGE","Françoise",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PCUCHA0080000084","Ancien Relais de Poste et de Messageries ","Patrimoine culturel","Site et monument historiques",,,,"Arboretum",,,,,," ",8430,"LAUNOIS SUR VENCE","FRANCE","03 24 35 02 69",,,"relais.launois@wanadoo.fr",,"www.launoissurvence.com",,"49.65519","4.540474",,,,"ANCIEN RELAIS DE POSTE ET DE MESSAGERIES","Inscrit à l'inventaire des Monuments Historiques depuis 1994","Tourisme et loisirs culturels à l'Ancien Relais de Poste aux Chevaux","Cet Ancien Relais de Messageries Royales et de Poste aux Chevaux de Launoy est un ensemble architectural du 17ème siècle, en forme de quadrilatère, avec la demeure du Maître de Poste flanquée de deux portes charretières et de la loge du guetteur, une cour intérieure bordée d'une vaste halle aux diligences, une suite d'écuries surmontées des réserves à grain, greniers à foin et une bergerie typique. C'est un lieu de manifestations culturelles et touristiques : marchés, foires, salons, festivals, floralies...). Programme sur demande.Visites libres ou commentées toute l'année sur demande ou sur rendez-vous Les Manifestations 2016 au Relais de Poste aux Chevaux de Launois sur Vence ICI","OLD RELAY STATION AND COURIER","Listed as a Historic Monument since 1994","Tourism and cultural activities to the Old Post Office in Horses","The Old Post and Courier Post to Royal Horses Launoy is an architectural ensemble of the 17th century, quadrilateral, with the remains of postmaster flanked by two driveway gates and lodge watcher, a courtyard lined a large hall for coaches, teams overcome a series of grain reserves, hayloft and a typical barn. It is a place of cultural and tourist events: markets, fairs, exhibitions, festivals, flower ...). Program on request. Open Houses throughout the year or commented upon request or by appointment",,,,,,,,,,,,,"http://cnstlltn.com/master/66aff94c-f2ca-4730-83b7-93af27b0d8b2/relais+10.jpg","http://cnstlltn.com/master/7fa35d91-d93f-4820-9dcd-41e3361ddb45/relais+poste.jpg","http://cnstlltn.com/master/df9bbba2-7edb-496e-8f9d-eba2421c38ef/df9bbba2-7edb-496e-8f9d-eba2421c38ef_134.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PCUCHA0080000138","Former  Récollets  church","Patrimoine culturel","Site et monument historiques",,"Classique",,"Eglise",,,,"Rue Clémenceau",," ",8600,"GIVET","FRANCE","03 24 42 06 84",,,,,,,"50.13702","4.822202",,,,"Ancienne église des Récollets - Givet-Ardenne-France",,"Ancienne église datant du XVIIe siècle aujourd'hui utilisée comme salle des fêtes.","C'est dans cette ancienne église, qu'Etienne Nicolas Méhul, né à Givet en 1763, a joué ses premières notes de musique avec le vieil organiste de l'église des Récollets.Monument non ouvert au public.","Former  Récollets  church Givet-Ardenne-France",,"Church dating from 18th century.Nowadays, this church is used as a community hall.","In this former church, Etienne Nicolas méhul, born in Givet in 1763, played his first music notes with the old organist of the  Récollets  church.Monument not opened to the public.",,,,,,,,,,,,,"http://cnstlltn.com/master/017b0885-50c9-4334-9603-f553c71a6d99/017b0885-50c9-4334-9603-f553c71a6d99_134.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PCUCHA0080000290","Ancienne Sous Prefecture de Sedan","Patrimoine culturel",,,,,,,,,"Avenue de la Marck",,,8200,"SEDAN","FRANCE","03 24 27 73 73",,,"contact@tourisme-sedan.fr",,,,"49.70319","4.940865",,,,"Ancienne Sous Prefecture de Sedan",,,"Commencée en 1865 sous les ordres de lArchitecte Reimbeau, terminée en 1868 par larchitecte Jean Baptiste Couty, construite en pleine époque Napoléon III, elle est voulue en face du quartier Macdonald et axée sur lavenue de La Marck.Bâtiment dinspiration Louis XIII, elle allie : le bossage de pierres, le cartouche et loculus de comble Louis XIII, un chien assis central à tendance Renaissance, un toit Louis XIV, brisé à la J.A. Mansard et un escalier Paladianiste à distribution centrale.Elle fut successivement siège de lEtat major général, résidence du Prince impérial, de lEmpereur Napoléon III et des Sous préfets. Napoléon III y passa 3 nuits et la quitta à laube du 2 septembre 1870 pour aller signer au château de Bellevue lacte de capitulation de son armée et se constituer prisonnier.","Ancienne Sous Prefecture de Sedan",,,"Begun in 1865 under the orders of architect Reimbeau, completed in 1868 by architect Jean Baptiste Couty and built in the middle of the Napoleon III epoch, this Old Prefecture was required in front of the Macdonald district and centred on avenue de La Marck.The building was inspired by Louis XIII and it combines: rusticated stone, the cartouche and oculus of Louis XIII, a sitting dog central to the Renaissance trend, a Louis XIV roof, broken at the JA Mansard and a Palladian central distribution staircase.It was successively headquarters of the General Staff, the residence of the Prince Imperial and the Emperor Napoleon III as well as Sub prefects. Napoleon III spent 3 nights and left at dawn on 2 September 1870 to sign the act of surrender of his army and himself at Bellevue Castle.",,,,,,,,,,,,,"http://cnstlltn.com/master/51a80602-e953-446d-b3a7-438c7ad3a268/logo-me%c2%b4moire.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"français",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PCUCHA0080000251","Association de Sauvegarde du Patrimoine Vouzinois (ASPV)","Patrimoine culturel","Visite guidée",,,,,,,,"2 cour de l'Oseraie",,,8400,"VOUZIERS","FRANCE","03 24 71 86 09",,,"m.coistia@wanadoo.fr",,,,"49.39421","4.691092",,,,"Association de Sauvegarde du Patrimoine Vouzinois (ASPV)",,,"L'ASPV propose des visites guidées de différents sites patrimoniaux du Vouzinois à la demande et sous réserve de l'accessibilité aux sites concernés.Accompagnement de tout projet de sauvegarde et de valorisation du patrimoine sous ses diverses formes. Prestations gratuites sauf si déplacements importants.",,,,,,,,,,,,,,,,,"http://cnstlltn.com/master/0d77ec80-4819-4bfe-8181-5888c519b7b1/0d77ec80-4819-4bfe-8181-5888c519b7b1_134.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"français",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PCUCHA0080000131","Atelier - Musée du Feutre","Patrimoine culturel","Musée","Musée de France",,,"Industrie",,,,"Place du Colombier",," ",8210,"MOUZON","FRANCE","03 24 26 19 91",,"03 24 26 27 73","musee.atelier.du.feutre@wanadoo.fr",,,,"49.60595","5.074469",,,,"Atelier - Musée du Feutre","Ğ Un musée dans lair du temps ğ","De lindustrie en passant par lartisanat vers lart contemporain...","Découvrir une histoire Cest à Mouzon que se trouve la dernière usine française de fabrication industrielle du feutre de laine.Pendant plus de 150 ans, lindustrie textile se développe grâce à limpulsion de la Famille Sommer. Le Musée du feutre, labellisé Musée de France, voit le jour en 1988. Il témoigne de la glorieuse époque de lindustrie textile durant les ĞTrente GlorieusesğDécouvrir une technique Le feutre est un isolant thermique, phonique. Cest une matière imperméable utilisée dans de nombreux domaines.Témoin du passé industriel, le Musée présente la reconstitution dune chaine de feutrage en modèle réduit.On y trouve également un atelier où scolaires, étudiants et artistes peuvent travailler le feutre à la main.Découvrir un art Depuis sa création, le Musée sest affirmé comme un lieu d'expérimentation. En invitant des artistes contemporains, le musée aborde les multiples aspects de la création autour du feutre : stylisme de mode, design, mobilier, sculpture, oeuvres murales...","Workshop - Museum of the Wool Felt"," A museum in tune with the times ","Industry passing through crafts towards contemporary art...","Discover historyMouzon is home to the very last French factory for the industrial manufacture of wool felt.The textile industry has been growing for over 150 years, thanks to the impetus of the Sommer Family.The Musée du feutre, labelled as a  Musée de France , was founded in 1988.It reflects the glorious era of the textile industry during the  Thirty Glorious Years  Discover techniquesFelt is a thermal and sound insulator. It is a waterproof material used in many areas.Having witnessed the industrial past, the Museum presents a small scale reconstruction of a felting chain.There is also a workshop where schools, students and artists can work felt by hand.Discover artSince its inception, the Museum has established itself as a place of experimentation.With an invitation to contemporary artists, the museum discusses the many aspects of creation around felt: fashion styling, design, furniture, sculpture, murals...",,,,,,,,,,,,,"http://cnstlltn.com/master/2626acab-1e3a-4772-bf84-6237942e3bb2/2626acab-1e3a-4772-bf84-6237942e3bb2_134.jpg","http://cnstlltn.com/master/4c00def9-97af-45d9-82f4-3bb59f95486d/logo+adf.jpg",,,,,,,"Accès handicapés","Handicap auditif","Handicap mental","Handicap moteur",,,,,,,,,,,,"Direction",,"HADOT","Vincent",,"musee.atelier.du.feutre@wanadoo.fr","03 24 26 19 91",,"Autres",,"HADOT","Vincent",,"musee.atelier.du.feutre@wanadoo.fr","03 24 26 19 91",,,,,,,,,,,"Chèques bancaires et postaux","Espèces",,,,,,,,,"Boutiques","Jardin","Salle d'animation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Atelier pédagogique","Atelier pour adultes","Atelier pour enfants","Concerts","Conférences",,,,,,"Y",,,,,,"Entrée Enfant","1.50","1.50","Entrée Adulte","4.00","4.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PCUCHA0080000038","Basilique Notre Dame d'Espérance","Patrimoine culturel","Site et monument historiques","Ville d'art et d'histoire","Gothique",,,,,,"10 place de la Basilique",," ",8000,"CHARLEVILLE MEZIERES","FRANCE","03.24.55.69.90","03 24 57 53 92","03.24.55.69.89","contact@charleville-tourisme.com",,"www.charleville-tourisme.com",,"49.76134","4.715819",,,,"BASILIQUE NOTRE DAME D'ESPERANCE","Un site unique au monde","Ouverte tous les jours de 10h00 à 18h00 toute l'année - Association Mézières Hier et Aujourd'hui - concerts d'orgue prestigieux toute l'année (voir programme à l'office de tourisme)","Edifice unique en Europe grâce aux 1000 m² de vitraux réalisés par René Dürrbach, ami et collaborateur de Picasso, la construction de cette église a duré  180 ans de 1499 à 1683, sur les bases d'une ancienne église romane, selon le style gothique flamboyant et dont le portail ouest est du style Renaissance. Ancien lieu de culte à la vierge noire dont un pèlerinage qui a duré du 12° siècle à 1960, elle a connu bien des événements historiques comme le mariage de Charles IX et Elisabeth d'Autriche en 1570, subit de nombreux drames et bombardements 1815, 1870, 1914-18 et 1944. Ce magnifique édifice, lieu consacré de culte, est animé toute l'année par les Heures musicales d'été  : concerts d'orgues en juillet et août. , des visites guidées proposées en été par l'association   Mézières Hier et Aujourd'hui   (03.24.57.50.62) et par l'office de tourisme : visites guidées des vitraux / visite-découverte des orgues / visite guidée et tour panoramique de la cité médiévale.",,,,,,,,,,,,,,,,,"http://cnstlltn.com/master/0f5b92fc-e0d9-45cc-9dff-dceb8e3a78b2/002_basilique_notre-dame_d_espereance_philippe_mangen.jpg","http://cnstlltn.com/master/1ecfabe6-e9b0-43a7-ac3d-c590cb6b28ff/001_basilique_notre-dame_d_espereance_agnes_pruvot.jpg","http://cnstlltn.com/master/be8b899e-ea00-4fd1-94a0-32faa2e7ec06/003_basilique_notre-dame_d_espereance_philippe_mangen.jpg",,"Villes d'art et d'histoire","3 fleurs","Villes et villages fleuris",,,,,,,,,,,,,,,,,"Renseignement/Information",,"OFFICE DE TOURISME DE CHARLEVILLE MEZIERES",,,"charl.mez@wanadoo.fr","03.24.55.69.90","03.24.55.69.89","Autres",,"OFFICE DE TOURISME DE CHARLEVILLE MEZIERES",,,"charl.mez@wanadoo.fr","03.24.55.69.90",,,,,,"anglais","allemand","espagnol","néerlandais",,,,,,,,,,,,"Boutiques","Parking",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Animation groupe","Animation thématique spécifique","Concerts","Visite guidée",,,,,,,"Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
