"ID","TITRE","TYPE","SSTYPE","CATEGORIE","STYLE","EVENEMENT","THEME1","THEME2","THEME3","NB_SALLE_RESTAURANT","NB_SALLE_CLIMATISEE","NB_COUVERT_MAX","NB_COUVERT_TERRASSE","RAISONSOCIALE","ADRESSE1","ADRESSE2","ADRESSE3","CODEPOSTAL","COMMUNE","PAYS","TEL1","TEL2","FAX","EMAIL1","EMAIL2","WEB1","WEB2","GPSX","GPSY","SIRET","APE","RCS","DESCRIPTIF_TITRE_FRANCAIS","DESCRIPTIF_SSTITRE_FRANCAIS","DESCRIPTIF_CHAPEAU_FRANCAIS","DESCRIPTIF_ARTICLE_FRANCAIS","DESCRIPTIF_TITRE_ANGLAIS","DESCRIPTIF_SSTITRE_ANGLAIS","DESCRIPTIF_CHAPEAU_ANGLAIS","DESCRIPTIF_ARTICLE_ANGLAIS","DESCRIPTIF_TITRE_ALLEMAND","DESCRIPTIF_SSTITRE_ALLEMAND","DESCRIPTIF_CHAPEAU_ALLEMAND","DESCRIPTIF_ARTICLE_ALLEMAND","DESCRIPTIF_TITRE_ESPAGNOL","DESCRIPTIF_SSTITRE_ESPAGNOL","DESCRIPTIF_CHAPEAU_ESPAGNOL","DESCRIPTIF_ARTICLE_ESPAGNOL","DESCRIPTIF_TITRE_ITALIEN","DESCRIPTIF_SSTITRE_ITALIEN","DESCRIPTIF_CHAPEAU_ITALIEN","DESCRIPTIF_ARTICLE_ITALIEN","PHOTO1","PHOTO2","PHOTO3","CLASSEMENT","LABEL1","LABEL2","LABEL3","ANIMAUX","HANDICAPE","TOURISME_HANDICAP1","TOURISME_HANDICAP2","TOURISME_HANDICAP3","TOURISME_HANDICAP4","DATEDU1","DATEAU1","DATEDU2","DATEAU2","DATEDU3","DATEAU3","DATEDU4","DATEAU4","DATEDU5","DATEAU5","CONTACT1TYPE","CONTACT1CIVI","CONTACT1NOM","CONTACT1PRENOM","CONTACT1FONCTION","CONTACT1EMAIL","CONTACT1TEL","CONTACT1FAX","CONTACT2TYPE","CONTACT2CIVI","CONTACT2NOM","CONTACT2PRENOM","CONTACT2FONCTION","CONTACT2EMAIL","CONTACT2TEL","CONTACT2FAX","CHAINE1","CHAINE2","CHAINE3","CHAINE4","LANGUE1","LANGUE2","LANGUE3","LANGUE4","LANGUE5","MODE_PAIEMENT1","MODE_PAIEMENT2","MODE_PAIEMENT3","MODE_PAIEMENT4","MODE_PAIEMENT5","MODE_PAIEMENT6","MODE_PAIEMENT7","MODE_PAIEMENT8","MODE_PAIEMENT9","MODE_PAIEMENT10","EQUIPEMENT1","EQUIPEMENT2","EQUIPEMENT3","EQUIPEMENT4","EQUIPEMENT5","EQUIPEMENT6","EQUIPEMENT7","EQUIPEMENT8","EQUIPEMENT9","EQUIPEMENT10","EQUIPEMENT11","EQUIPEMENT12","EQUIPEMENT13","EQUIPEMENT14","EQUIPEMENT15","EQUIPEMENT16","EQUIPEMENT17","EQUIPEMENT18","EQUIPEMENT19","EQUIPEMENT20","SERVICE1","SERVICE2","SERVICE3","SERVICE4","SERVICE5","SERVICE6","SERVICE7","SERVICE8","SERVICE9","SERVICE10","SERVICE11","SERVICE12","SERVICE13","SERVICE14","SERVICE15","SERVICE16","SERVICE17","SERVICE18","SERVICE19","SERVICE20","ACTIVITE1","ACTIVITE2","ACTIVITE3","ACTIVITE4","ACTIVITE5","CONFORT1","CONFORT2","CONFORT3","CONFORT4","CONFORT5","GROUPES_ACCEPTES","GROUPE_MAX","GROUPE_MIN","NBRE_SALLE_REUNION","NBRE_PERSONNES_SALLE","SUPERFICIE_SALLE","TARIF1_LIBELLE","TARIF1_MIN","TARIF1_MAX","TARIF2_LIBELLE","TARIF2_MIN","TARIF2_MAX","TARIF3_LIBELLE","TARIF3_MIN","TARIF3_MAX","TARIF4_LIBELLE","TARIF4_MIN","TARIF4_MAX","TARIF5_LIBELLE","TARIF5_MIN","TARIF5_MAX","TARIF6_LIBELLE","TARIF6_MIN","TARIF6_MAX","TARIF7_LIBELLE","TARIF7_MIN","TARIF7_MAX","TARIF8_LIBELLE","TARIF8_MIN","TARIF8_MAX","TARIF9_LIBELLE","TARIF9_MIN","TARIF9_MAX","TARIF10_LIBELLE","TARIF10_MIN","TARIF10_MAX","TARIF11_LIBELLE","TARIF11_MIN","TARIF11_MAX","TARIF12_LIBELLE","TARIF12_MIN","TARIF12_MAX","TARIF13_LIBELLE","TARIF13_MIN","TARIF13_MAX","TARIF14_LIBELLE","TARIF14_MIN","TARIF14_MAX","TARIF15_LIBELLE","TARIF15_MIN","TARIF15_MAX","TARIF16_LIBELLE","TARIF16_MIN","TARIF16_MAX","TARIF17_LIBELLE","TARIF17_MIN","TARIF17_MAX","TARIF18_LIBELLE","TARIF18_MIN","TARIF18_MAX","TARIF19_LIBELLE","TARIF19_MIN","TARIF19_MAX","TARIF20_LIBELLE","TARIF20_MIN","TARIF20_MAX"
"RESCHA0080000231"," Restaurant Café Jean","Restauration","Restaurant","Cuisine de terroir",,,"Cuisine traditionnelle",,,2,,56,,,"Route Aouste",," ",8290,"LIART","FRANCE","03 24 54 40 14",,,,,,,"49.77095","4.342518",,,,"Restaurant Café Jean à Liart","Ouvert tous les jours","Mme Pichon cuisine tous les jours un plat différent, les midis en semaine et le soir sur réservation. Les produits frais et locaux sont à l'honneur. Du vendredi soir au dimanche midi pizza sur place ou a emporter, pâte à pain du boulanger et produits frais.","Arrêtez vous  à Liart à la croisée des routes venant de l'Aisne, Charleville, Signy l'Abbaye et Chaumont Porcien. Le restaurant Café Jean  vous accueille agréablement soit dans la partie bar soit dans ses 2 salles de restaurants d'une vingtaine de couverts chacune. Produits de terroir à l'honneur de ses menus seront cuisinés  dans l'ancienne cuisinière à bois avec des légumes du jardin.Mme Pichon peut vous préparer vos repas de famille, fête des mères... sur place.Nouveau du vendredi soir au dimanche midi possibilité de prendre sur place ou a emporter une pizza maison.Les 2 salles sont décorées par des tableaux offrant une vue du village du peintre Delfosse.Les motards sont les bienvenues. Horaires : lundi de 12h à 14h, mardi 9h30 à 21h, mercredi 9h30 à 15h, jeudi 9h30 à 21h, vendredi, samedi et dimanche 9h30 à 22h.",,,,,,,,,,,,,,,,,"http://cnstlltn.com/master/87a28049-d025-4078-a186-22d0154b7940/87a28049-d025-4078-a186-22d0154b7940_134.jpg","http://cnstlltn.com/master/e8485163-ea43-4bd9-b7c7-f84ae769f557/e8485163-ea43-4bd9-b7c7-f84ae769f557_134.jpg","http://cnstlltn.com/master/b8a545dd-dd4f-4eb5-beee-26f28022cef4/b8a545dd-dd4f-4eb5-beee-26f28022cef4_134.jpg","Non Classé",,,,"Animaux acceptés",,,,,,,,,,,,,,,,"Autres",,"PICHON",,,,,,,,,,,,,,,,,,"anglais","espagnol","français",,,"Chèques","Chèques bancaires et postaux","Espèces","Tickets-restaurant","Carte bancaire",,,,,,"Parking","Parking autocar","Terrasse",,,,,,,,,,,,,,,,,,"Bar","Documentation Touristique","Traiteur","Vente à emporter",,,,,,,,,,,,,,,,,,,,,,"Chaise bébé",,,,,"Y",54,,,,,"Formule midi entrée plat dessert","12.90","12.90","Formule entrée et plat en semaine","11.80","11.80","formule enfant","10.00","10.00","Plat du jour en semaine","9.00","9.00","formule soir et week end","15.00","25.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RESCHA0080000400"," Salon de thé Macarons & plaisirs","Restauration",,"Salon de thé",,,,,,,,24,,,"28 place Ducale",,,8000,"CHARLEVILLE MEZIERES","FRANCE",324260623,,,,,,,"49.77386","4.721025",,,,"Salon de thé - Restaurant Macarons et Plaisirs",,,"Salon de thé sur la Place Ducale sous les arcades doté d'une très belle salle mange debout et salon de thé aux couleurs appétissantes - Ambiance conviviale et dynamique. Idéal pour un petit casse-croûte gourmand entre amis ou collègues le midi. Proposant macarons et autres gourmandises. Les thés servis sont de la gamme Mariage Frères. Cocktails et jus de fruits frais faits maison.Formule petit déj: une viennoiserie + un jus de fruits frais pressé au choix + un café ou chocolat ou thé pour 6,90 Pause déjeuner: une tartine salée + une boisson eau ou soda + une pâtisserie du jour pour 8,50 Formule sandwich: sandwich (selon la proposition du jour) + boisson + pâtisserie au choix pour 7,50 Formule soupe en miche de pain très sympaOuvert tous les jours (sauf le Lundi) de 7h30 à 19hDimanche et jour férié: 8h00-19h",,,,,,,,,,,,,,,,,"http://cnstlltn.com/master/4478fbdd-4610-43cd-bd2c-8803b4337f1b/10812_119390994920494_726543218_n.jpg","http://cnstlltn.com/master/c43ab41e-6a24-41d6-99cc-38d096458b96/image+macaron+pour+rubrique+restaurant.jpg","http://cnstlltn.com/master/ae9668f8-3af6-4c20-8248-97683bb4a62c/lots+macarons+%c3%a0+offrir.jpg",,,,,,"Accès handicapés",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"français",,,,,"Carte de crédit","Eurocard - Mastercard","Tickets-restaurant","Visa",,,,,,,"Salon","Terrasse",,,,,,,,,,,,,,,,,,,"Boutique","Brunch","Livraison à domicile","Salon de thé","Traiteur","Vente à emporter",,,,,,,,,,,,,,,,,,,,"Chaise bébé","Climatisation",,,,,,,,,,"tartine salée","6.00","0.00","Formule salée","10.00","0.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RESCHA0080000730","A l'Baraque à Frites","Restauration",,"Restauration Rapide",,,,,,,,,,,"1722 route de Revin",,,8230,"ROCROI","FRANCE",,,,,,,,"49.9278","4.562629",,,,"A l'Baraque à Frites","Sur la Route de Revin ","Lundi,mardi,mercredi et jeudi de 18h30 a 21h30 vendredi de11h30 a 14h et 18h30 a 22h,samedi de 18h30 a 22hdimanche de 11h30 a 14h et 18H30 a 22h",,,,,,,,,,,,,,,,,,"http://cnstlltn.com/master/b2d72bc2-ab6d-476c-8ed1-5df0be58dc73/10487352_1440322899569944_5656483668035242384_n.jpg","http://cnstlltn.com/master/4bae1a23-6a46-48b5-95a1-b349da0bd85a/1966902_1433237146945186_607433390600415080_n.jpg","http://cnstlltn.com/master/9f2ec400-5705-4743-a2e5-59de8deafd22/10384060_1579755562293343_2500797776903761848_n.jpg",,,,,,,,,,,,,,,,,,,,,"Propriétaire",,"zuinen","geoffray",,,,,,,,,,,,,,,,,"français",,,,,"Chèques bancaires et postaux","Espèces",,,,,,,,,"Terrasse chauffée",,,,,,,,,,,,,,,,,,,,"Bar","Vente à emporter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RESCHA0080000198","Alizée restaurant pizzeria","Restauration","Restaurant","Pizzeria",,,,,,0,0,170,,,"1 av. Jean Jaurès",," ",8000,"CHARLEVILLE MEZIERES","FRANCE","03 24 56 04 00",,,,,,,"49.77078","4.719488",,,,"ALIZEE RESTAURANT PIZZERIA",,,"Vente à emporter - Ouvert 7J/7",,,,,,,,,,,,,,,,,"http://cnstlltn.com/master/d8e0bdda-e241-48ef-bdd5-a8a52796bb40/d8e0bdda-e241-48ef-bdd5-a8a52796bb40_134.jpg",,,,,,,"Animaux acceptés",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"anglais","français","italien",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,"Dessert ","6.00","7.00","Menu (entrée + plat + boisson ou plat + dessert + boisson)","15.00","0.00","Menu (entrée + plat + dessert + boisson)","18.50","0.00","Pizza","8.00","14.60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RESCHA0080000196","Allo couscous","Restauration",,,,,,,,0,0,0,,,"109 cours Aristide Briand",," ",8000,"CHARLEVILLE MEZIERES","FRANCE","03 24 56 93 03",,,,,,,"49.76705","4.719572",,,,"Allo couscous",,,"Couscous, sandwichs, gâteaux, 7J/7 Sur place, à emporter, livraison",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RESCHA0080000025","American Drinks","Restauration",,"Restauration Rapide",,,,,,,,,,,"3 rue Lucien Drapier",,,8300,"RETHEL","FRANCE","03 24 72 63 75",,,,,,,"49.51503","4.383214",,,,"American Drinks",,,"fast-food, kebab",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"français",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RESCHA0080000258","Argonne Hôtel","Restauration","Hotel-restaurant","Cuisine traditionnelle",,,"Cuisine traditionnelle",,,,0,120,0,,"Route de Reims",," ",8400,"VOUZIERS","FRANCE","03.24.71.42.14",,"03.24.71.83.69","argonnehotel@wanadoo.fr",,,,"49.39535","4.681957",,,,"Argonne Hôtel (son restaurant)",,,"Restaurant de qualité, offrant une grande capacité d'accueil - Salle de réunions et de séminaires120 couvertsFermé le dimanche soirFermeture annuelle du 24/12 au 1/01",,,,,,,,,,,,,,,,,"http://cnstlltn.com/master/482baaf1-c035-40c4-b166-f06d396f89c6/argonne+hotel+(fa%c3%a7ade)+%c2%a9+studio+vlp.+v+lecl%c3%a8re.jpg","http://cnstlltn.com/master/f90ba831-4bb8-47f9-a8f8-5994b57f31a7/argonne+hotel+(panormaique)+3+%c2%a9+studio+vlp.+v+lecl%c3%a8re.jpg","http://cnstlltn.com/master/46aa60a6-708e-4237-97b9-6c76d6b05bae/argonne+hotel+(panormaique)+%c2%a9+studio+vlp.+v+lecl%c3%a8re.jpg",,"2 Cocottes","Logis de France",,"Animaux acceptés","Accès handicapés",,,,,,,,,,,,,,,"Direction",,"SELEIRO","Paul-Georges",,,"03.24.71.42.14","03.24.71.83.69",,,,,,,,,,,,,"français","anglais","espagnol","portugais",,"Chèques de voyage","Chèques Vacances","Espèces","Tickets-restaurant","Visa","Chèques déjeuners","Chèques restaurant","Eurocheques","Virements",,"Parking autocar","Parking privé","Salle de réunion","Terrasse",,,,,,,,,,,,,,,,,"Banquet","Bar / buvette","Documentation Touristique","Location de salles","Séminaire",,,,,,,,,,,,,,,,,,,,,"Chaise bébé","Cheminée","Wifi",,,"Y",,,0,0,0,"Menu du jour (du lundi au vendredi)","0.00","14.00","Carte brasserie et carte gastronomique","0.00","0.00","Menus","17.00","28.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RESCHA0080000277","Aspendos","Restauration",,,,,,,,0,0,0,,,"7 rue de le Paix",," ",8000,"CHARLEVILLE MEZIERES","FRANCE","03 24 27 45 22",,,,,,,"49.77231","4.720805",,,,"ASPENDOS",,,"Sur place/ à emporter et livraison",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RESCHA0080000115","Au Bon Accueil","Restauration","Restaurant","Brasserie",,,,,,0,0,0,,,"Route de Charleville",," ",8300,"NOVY CHEVRIERES","FRANCE","03 24 38 21 36",,,"au.bon.accueil@hotmail.fr",,"http://www.aubonaccueil.com.sitew.com",,"49.53793","4.449415",,,,"Au Bon Accueil",,,"Restaurant menus du midi 11 ; menu de vendredi soir 16,50menus traiteur à partir de 1850 couvertsfermé le dimanche",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Banquet","Traiteur",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RESCHA0080000039","Au dernier sou","Restauration","Restaurant","Cuisine traditionnelle",,,"Cuisine européenne","Cuisine traditionnelle",,0,0,60,,,"82 av. Charles Boutet",," ",8000,"CHARLEVILLE MEZIERES","FRANCE","03 24 56 25 44",,,,,,,"49.7758","4.710672",,,,"AU DERNIER SOU",,,"Cuisine traditionnelle",,,,,,,,,,,,,,,,,"http://cnstlltn.com/master/b6b7c3f7-d5a7-4902-bb42-3efac2d469d1/b6b7c3f7-d5a7-4902-bb42-3efac2d469d1_134.jpg",,,,,,,"Animaux acceptés",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,"Menu (entrée + plat ou plat + dessert)","10.40","0.00","Plat du jour","7.00","0.00","Dessert","2.80","4.80","Menu (entrée + plat + desert)","12.90","15.90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
