"ID","TITRE","TYPE","SSTYPE","CATEGORIE","STYLE","EVENEMENT","THEME1","THEME2","THEME3","RAISONSOCIALE","ADRESSE1","ADRESSE2","ADRESSE3","CODEPOSTAL","COMMUNE","PAYS","TEL1","TEL2","FAX","EMAIL1","EMAIL2","WEB1","WEB2","GPSX","GPSY","SIRET","APE","RCS","DESCRIPTIF_TITRE_FRANCAIS","DESCRIPTIF_SSTITRE_FRANCAIS","DESCRIPTIF_CHAPEAU_FRANCAIS","DESCRIPTIF_ARTICLE_FRANCAIS","DESCRIPTIF_TITRE_ANGLAIS","DESCRIPTIF_SSTITRE_ANGLAIS","DESCRIPTIF_CHAPEAU_ANGLAIS","DESCRIPTIF_ARTICLE_ANGLAIS","DESCRIPTIF_TITRE_ALLEMAND","DESCRIPTIF_SSTITRE_ALLEMAND","DESCRIPTIF_CHAPEAU_ALLEMAND","DESCRIPTIF_ARTICLE_ALLEMAND","DESCRIPTIF_TITRE_ESPAGNOL","DESCRIPTIF_SSTITRE_ESPAGNOL","DESCRIPTIF_CHAPEAU_ESPAGNOL","DESCRIPTIF_ARTICLE_ESPAGNOL","DESCRIPTIF_TITRE_ITALIEN","DESCRIPTIF_SSTITRE_ITALIEN","DESCRIPTIF_CHAPEAU_ITALIEN","DESCRIPTIF_ARTICLE_ITALIEN","PHOTO1","PHOTO2","PHOTO3","CLASSEMENT","LABEL1","LABEL2","LABEL3","ANIMAUX","HANDICAPE","TOURISME_HANDICAP1","TOURISME_HANDICAP2","TOURISME_HANDICAP3","TOURISME_HANDICAP4","DATEDU1","DATEAU1","DATEDU2","DATEAU2","DATEDU3","DATEAU3","DATEDU4","DATEAU4","DATEDU5","DATEAU5","CONTACT1TYPE","CONTACT1CIVI","CONTACT1NOM","CONTACT1PRENOM","CONTACT1FONCTION","CONTACT1EMAIL","CONTACT1TEL","CONTACT1FAX","CONTACT2TYPE","CONTACT2CIVI","CONTACT2NOM","CONTACT2PRENOM","CONTACT2FONCTION","CONTACT2EMAIL","CONTACT2TEL","CONTACT2FAX","CHAINE1","CHAINE2","CHAINE3","CHAINE4","LANGUE1","LANGUE2","LANGUE3","LANGUE4","LANGUE5","MODE_PAIEMENT1","MODE_PAIEMENT2","MODE_PAIEMENT3","MODE_PAIEMENT4","MODE_PAIEMENT5","MODE_PAIEMENT6","MODE_PAIEMENT7","MODE_PAIEMENT8","MODE_PAIEMENT9","MODE_PAIEMENT10","EQUIPEMENT1","EQUIPEMENT2","EQUIPEMENT3","EQUIPEMENT4","EQUIPEMENT5","EQUIPEMENT6","EQUIPEMENT7","EQUIPEMENT8","EQUIPEMENT9","EQUIPEMENT10","EQUIPEMENT11","EQUIPEMENT12","EQUIPEMENT13","EQUIPEMENT14","EQUIPEMENT15","EQUIPEMENT16","EQUIPEMENT17","EQUIPEMENT18","EQUIPEMENT19","EQUIPEMENT20","SERVICE1","SERVICE2","SERVICE3","SERVICE4","SERVICE5","SERVICE6","SERVICE7","SERVICE8","SERVICE9","SERVICE10","SERVICE11","SERVICE12","SERVICE13","SERVICE14","SERVICE15","SERVICE16","SERVICE17","SERVICE18","SERVICE19","SERVICE20","ACTIVITE1","ACTIVITE2","ACTIVITE3","ACTIVITE4","ACTIVITE5","CONFORT1","CONFORT2","CONFORT3","CONFORT4","CONFORT5","GROUPES_ACCEPTES","GROUPE_MAX","GROUPE_MIN","NBRE_SALLE_REUNION","NBRE_PERSONNES_SALLE","SUPERFICIE_SALLE","TARIF1_LIBELLE","TARIF1_MIN","TARIF1_MAX","TARIF2_LIBELLE","TARIF2_MIN","TARIF2_MAX","TARIF3_LIBELLE","TARIF3_MIN","TARIF3_MAX","TARIF4_LIBELLE","TARIF4_MIN","TARIF4_MAX","TARIF5_LIBELLE","TARIF5_MIN","TARIF5_MAX","TARIF6_LIBELLE","TARIF6_MIN","TARIF6_MAX","TARIF7_LIBELLE","TARIF7_MIN","TARIF7_MAX","TARIF8_LIBELLE","TARIF8_MIN","TARIF8_MAX","TARIF9_LIBELLE","TARIF9_MIN","TARIF9_MAX","TARIF10_LIBELLE","TARIF10_MIN","TARIF10_MAX","TARIF11_LIBELLE","TARIF11_MIN","TARIF11_MAX","TARIF12_LIBELLE","TARIF12_MIN","TARIF12_MAX","TARIF13_LIBELLE","TARIF13_MIN","TARIF13_MAX","TARIF14_LIBELLE","TARIF14_MIN","TARIF14_MAX","TARIF15_LIBELLE","TARIF15_MIN","TARIF15_MAX","TARIF16_LIBELLE","TARIF16_MIN","TARIF16_MAX","TARIF17_LIBELLE","TARIF17_MIN","TARIF17_MAX","TARIF18_LIBELLE","TARIF18_MIN","TARIF18_MAX","TARIF19_LIBELLE","TARIF19_MIN","TARIF19_MAX","TARIF20_LIBELLE","TARIF20_MIN","TARIF20_MAX"
"ITICHA0080000171","Ardenn All Access - La route de la bière et des saveurs","Itinéraires touristiques","Routier",,"Circuit",,"Gastronomique",,,,"Place de la Halle",,,8200,"SEDAN","FRANCE","03 24 27 73 73",,,"contact@tourisme-sedan.fr",,"http://www.visitardenne.com/all-access/fr/circuits/la-route-de-la-biere-et-ses-saveurs/",,"49.70016","4.949041",,,,"La route de la bière et des saveurs",,"http://www.visitardenne.com/all-access/fr/circuits/la-route-de-la-biere-et-ses-saveurs/","La bière symbolise le terroir et le caractère affirmé de l'Ardenne, entre douceur et âpreté.L'art de brasser gagne à s'entourer de précision et de savoir-faire : les brasseries artisanales perpétuent une tradition ancrée dans le roc de l'Ardenne depuis des siècles. Si en Belgique cette tradition a perduré, en France, les brasseries qui étaient légions au XIXe siècle, ont presque toutes disparues... Elle renaît en ce XXIe siècle, depuis que de jeunes brasseurs apprennent les gestes de leurs aïeux dans les villages et les villes ardennaises, alors qu'aux portes de l'Ardenne, à Chimay, à Rochefort et à Orval, des moines brassent un breuvage d'or depuis la nuit des temps. Ces trois bières trappistes sont un véritable patrimoine gustatif, unique au monde !","The road beer and flavors",,"http://www.visitardenne.com/all-access/fr/circuits/la-route-de-la-biere-et-ses-saveurs/","Beer is a symbol of the specific bitter-sweet character and flavour of the Ardennes. The art of brewing is enhanced by precision and know-how: artisan breweries continue a centuries-old tradition anchored in the very earth of the Ardennes. While this tradition is alive and healthy today in Belgium, in France the many breweries that were around in the nineteenth century have almost all disappeared. However, the twenty-first century has seen a revival as young brewers have re-learned the skills and techniques of their ancestors in the towns and villages of the Ardennes, while not far away, at Chimay, Rochefort and Orval, Trappist monks have brewed superb beers for centuries, which form a veritable, unique taste heritage!",,,,,,,,,,,,,"http://cnstlltn.com/master/8a41107b-ed2b-4296-8002-e6a2f16ec618/85-3-a-s.jpg","http://cnstlltn.com/master/940bc0bc-f3ec-4758-a20c-6e0d6d729187/85-6-a-s.jpg","http://cnstlltn.com/master/f6f2e264-c76e-4da7-9cda-84f00993afaf/85-7-a-laa-tis-reportages-2012.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"français",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ITICHA0080000172","Ardenn All Access - La route des abbayes","Itinéraires touristiques","Routier",,"Circuit",,"Religieux",,,,"Place de l'abbatiale",,,8210,"MOUZON","FRANCE","03 24 27 73 73",,,"contact@tourisme-sedan.fr",,"http://www.visitardenne.com/all-access/fr/circuits/la-route-des-abbayes/",,"49.60558","5.075809",,,,"La route des abbayes",,"http://www.visitardenne.com/all-access/fr/circuits/la-route-des-abbayes/","Au début du Moyen Âge, la forêt d'Ardenne est inhospitalière, d'une sauvage beauté. Elle offre aux ermites puis aux moines une terre promise à leur solitude et leur recueillement. Des abbayes naissent dans les vallées les plus secrètes comme Saint-Hubert, Orval, Elan ou aux abords des rivières magnifiques telles Laval-Dieu et Hastières. Les cognées des moines abattent la forêt, des marais sont asséchés : des clairières vont inonder de lumière le grand vert. La terre inculte sera conquise comme seront converties les âmes des Ardennais. Les monastères vont transfigurer l'Ardenne et vont rayonner plusieurs siècles durant.","Abbey Road",,"http://www.visitardenne.com/all-access/fr/circuits/la-route-des-abbayes/","In the early Middle Ages, the Ardennes Forest was an inhospitable region of wild beauty that offered an ideal place for solitude and reflection to hermits and monks. Abbeys were founded in the most inaccessible valleys, such as Saint-Hubert, Orval and Elan, or on the banks of magnificent rivers, such as Laval-Dieu and Hastière. The monks felled trees and drained marshland, bringing daylight flooding into the forest. The uncultivated land of the Ardennes would be mastered just like the souls of its inhabitants would be converted. The abbeys would completely change the Ardennes and their influence would spread far and wide over many centuries.",,,,,,,,,,,,,"http://cnstlltn.com/master/7a04a2d7-5237-4e21-a6d5-7d6db4b7e36c/74-2-a-atgps-xl-2012.jpg","http://cnstlltn.com/master/f9923b6d-d954-4979-a6df-fb88e6011319/79-1-a-atgps-xl-2012.jpg","http://cnstlltn.com/master/38b72528-9231-4854-97d3-df9cf6a60313/50-1-a-atgps-xl2012.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"français",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ITICHA0080000170","Ardenn All Access - La route des Fortifications","Itinéraires touristiques","Routier",,"Itinéraire",,"Culturel",,,,"Château Fort de Sedan",,,8200,"SEDAN","FRANCE","03 24 27 73 73",,,"contact@tourisme-sedan.fr",,"http://www.visitardenne.com/all-access/fr/circuits/la-route-des-fortifications/",,"49.70216","4.949273",,,,"La route des Fortifications",,"http://www.visitardenne.com/all-access/fr/circuits/la-route-des-fortifications/","A la croisée du monde germain et du monde latin, l'Ardenne est parsemée de témoins d'une histoire tumultueuse et passionnante. Porteuses de mythes et de légendes, de puissantes forteresses se blottissent dans le grand massif sombre et épique. Elles racontent au sein de leurs murs, mille ans de sièges, de guerres et de pillages. A Bouillon, à Herbeumont, à Sedan, à Montcornet résonne encore le bruit des épées et des flûtes des troubadours. Dans la vallée de lumière de la Meuse, des cités ont émergé, fières de leur richesse qu'il fallait défendre... La Route des Fortifications part sur ces chemins du Moyen Âge, sur ces routes du commerce, sur ces routes où s'est joué maintes fois, le sort de l'Europe.","The route of the fortifications",,"http://www.visitardenne.com/all-access/fr/circuits/la-route-des-fortifications/","Given its position at the crossroads of the Germanic and Latin parts of Europe, the Ardennes region is strewn with evidence of its tumultuous and violent past. The powerful fortresses which tower over the landscape from high rocky outcrops have given rise to myths and legends. Their thick walls bear witness to a thousand years of sieges, wars and pillage. Bouillon, Herbeumont, Sedan and Montcornet still echo to the clash of swords and the songs of minstrels. In the light-filled valley of the Meuse, wealthy cities developed, but their riches had to be defended. The Fortifications Trail takes you along these mediaeval commercial roads, where the fate of Europe was decided on countless occasions.",,,,,,,,,,,,,"http://cnstlltn.com/master/e22de0c3-7dc8-47b3-808f-09bcaf01f8b1/8a-1-a-r.jpg","http://cnstlltn.com/master/7d51f34a-dc8a-4471-b54c-7fbda21b080f/8a-4-a-pierre-yves-herbin.jpg","http://cnstlltn.com/master/f51e045a-c92d-4603-9279-555f370cb468/7a-1-a-jeanfrana-ois.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"français",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ITICHA0080000173","Ardenn All Access - Randonnée des 2 châteaux","Itinéraires touristiques","Pédestre",,"Itinéraire",,"Historique",,,,"Château Fort de Sedan",,,8200,"SEDAN","FRANCE","03 24 27 73 73",,,"contact@tourisme-sedan.fr",,"http://www.visitardenne.com/all-access/fr/circuits/rando-les-2-chateaux/",,"49.70216","4.949316",,,,"Ardenn All Access - Randonnée des 2 châteaux",,"http://www.visitardenne.com/all-access/fr/circuits/rando-les-2-chateaux/","Comptez deux jours pour parcourir ce sentier emprunté depuis des siècles pour relier le château de Sedan à celui de Bouillon en Belgique. Une randonnée où leau, la forêt et la nature sont omniprésentes. Bien que voisines, ces deux régions appartiennent à deux contrées bien distinctes. Lune est nichée dans un repli du massif ardennais, lautre sétale au bord de la Meuse, à proximité de la première côte du bassin parisien.Les 2 villes sont surs depuis un millénaire et liées par lhistoire depuis la signature du traité de Verdun de 843, qui partagea lempire de Charlemagne. Ce circuit vous permettra de découvrir le plus vaste château féodal dEurope à Sedan, de vivre la première croisade de Godefroy au château et à larchéoscope de Bouillon, de participer aux fêtes médiévales le tout dans un écrin forestier exceptionnel. Respirez !","Ardenn All Access  Two castle hike",,"http://www.visitardenne.com/all-access/fr/circuits/rando-les-2-chateaux/","Allow two days to complete this route, which has been used for centuries to link the Sedan castle with that of Bouillon in Belgium. Water, woodlands and nature are omnipresent all along this trail. Although these two regions are neighbours, they belong to two very different types of landscape. One is nestled in a fold of the Ardennes massif, while the other is spread along the banks of the Meuse, not far from the first slopes of the Paris basin.They have been sister cities for over a thousand years, and linked by history since the signature of the 1843 Treaty of Verdun, which shared out Charlemagne's empire. This tour will allow you to discover Europe's biggest feudal castle in Sedan, experience Godefroy's first crusade at the castle and archeoscope in Bouillon, or take part in medieval festivals .... and all in an exceptional forest setting. Take a deep breath!",,,,,,,,,,,,,"http://cnstlltn.com/master/cb2b0d1b-96f3-4b20-83e7-b161633b7e19/8a-10-a-s.jpg","http://cnstlltn.com/master/6a5c7976-607b-4843-a32d-114258d0ddc6/photo-5-olly.jpg","http://cnstlltn.com/master/82e9ce93-5bf7-408b-8ecd-b40304aa0a56/photo-6-bis-olly.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"français",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ITICHA0080000110","Balade à pied: Circuit urbain Charleville-Mézières","Itinéraires touristiques","Pédestre",,"Circuit",,"Culturel",,,,,,,8000,"CHARLEVILLE MEZIERES","FRANCE","03 24 55 69 90",,,,,"http://www.charleville-tourisme.com",,"49.76208","4.726096",,,,"Circuit urbain Charleville-Mézières",,"Découvrez Charleville-Mézières avec sa célèbre Place Ducale ou la Basilique Notre Dame dEspérance mais aussi son côté nature avec la Meuse omniprésente et le Mont Olympe.","Niveau facile A pied 8 km environ · Balisage : non · Source : OT de Charleville-Mézières et sa région.",,,,,,,,,,,,,,,,,"http://cnstlltn.com/master/b16cecba-b240-4614-b48c-9ef623cf3715/2_charleville_pedestre_2013.jpg","http://cnstlltn.com/master/c9c6eac0-843f-43e0-8fbb-acea06cc93eb/c9c6eac0-843f-43e0-8fbb-acea06cc93eb_134.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"français",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ITICHA0080000118","Balade à pied: La plaine de Tournavaux ","Itinéraires touristiques","Pédestre",,"Circuit",,"Naturel",,,,,,,8800,"TOURNAVAUX","FRANCE","03 24 26 55 95",,,"cdrp.ardennes@free.fr",,"http://www.ffrandonnee.fr/boutique/topo-guide.aspx?ref=D008","http://www.ffrandonnee.fr","49.87325","4.783998",,,,"Balade à pied: La plaine de Tournavaux ",,"La plus vaste plaine de la vallée de la Semoy. Paysages magnifiques et villages sympathiques !","4 km  1 h 30Niveau facile&gt; Situation : Tournavaux à 22 km au nord de Charleville-Mézières&gt; Balisage : blanc-rouge / jaune",,,,,,,,,,,,,,,,,"http://cnstlltn.com/master/bfe3a726-c5b8-4023-b74e-87c7b6d80685/bfe3a726-c5b8-4023-b74e-87c7b6d80685_134.jpg","http://cnstlltn.com/master/0afa2ff4-393c-45fd-88fc-d2a0f3e0bfba/0afa2ff4-393c-45fd-88fc-d2a0f3e0bfba_134.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"français",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ITICHA0080000126","Balade à pied: Le circuit des écluses","Itinéraires touristiques","Pédestre",,"Itinéraire",,"Naturel",,,,,,,8390,"LE CHESNE","FRANCE",,,,,,,,"49.51339","4.763326",,,,"Le circuit des écluses ",,"Suivons le canal des Ardennes, au fil de la pittoresque vallée aux 26 écluses.","10 km  3 h Niveau moyen A pied · Situation : Le Chesne à 30 km au sud de Sedan · Balisage : rouge · Source : 2C2A Chouettes balades en Argonne Départ : Place du Parlement (face à la supérette)- Passons le pont. Sur la gauche, admirons le calvaire du 13ème siècle, croix de carrefour matérialisant la croisée des chemins, mais aussi lieu de prière, construite sur une forme hexagonale en pierre, la base formant un escalier. Autrefois, elle comportait des niches avec statuettes, et était surmontée dune flèche ornée de crochets détruite à la Révolution. Descendons les escaliers à droite vers léglise Saint Jacques le Majeur des 12e-15e siècles, reconstruits en partie après sa destruction en 1940, romane, fortifiée avec sa tour-clocher imposante, ses contreforts et gargouilles. 1 / Le Canal des Ardennes et la Vallée des Ecluses - Longeons le Canal des Ardennes sur 2km jusquà lécluse n°3. Traverser le canal par le de 2ème pont. Attention, il est interdit de traverser par les portes décluse ! Version courte : possibilité de retourner au village en empruntant le pont à droite à lécluse n°2, pour revenir par le chemin de halage de lautre côté du canal. 2/ Montgon - Tournons à gauche vers Montgon par le chemin de halage sur 2 500m jusquà lécluse n°11. Prenons à gauche pour traverser le canal et remonter vers Montgon par la petite route sur 1200m jusquà la Mairie. Empruntons la D25 à gauche vers Le Chesne sur 100m et tournons à droite, puis continuons 500m jusquà la ferme Ğ Girondelle ğ. Suivons le chemin sur 1500m pour revenir au croisement de notre chemin avec la D25. Prenons à droite vers Le Chesne. 3/ Le Chesne - Suivre cette route à droite sur 1500m, passons devant les bâtiments de la ferme Groud (sur notre droite), puis empruntons un peu plus loin un chemin à gauche. Nous traversons une ferme. En sortant de la ferme, prenons la route à gauche, puis suivons le balisage qui nous guide à travers les jardins particuliers sur la droite. Après les containers passons à gauche derrière la salle des fêtes et revenons au chemin de halage qui nous ramène à léglise. Source : Chouettes Balades en Argonne İ",,,,,,,,,,,,,,,,,"http://cnstlltn.com/master/2568f5dd-0dd2-4c21-b424-584313a8f2cf/17_argonne_ecluses_lechesne-print2.jpg","http://cnstlltn.com/master/55d5d120-6053-48f7-85d2-04e350e80eb0/55d5d120-6053-48f7-85d2-04e350e80eb0_134.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"français",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ITICHA0080000115","Balade à vélo dans le Pays des Sources et dans les Crêtes","Itinéraires touristiques","Cyclotouriste",,"Circuit",,"Historique",,,,,,,8160,"ELAN","FRANCE","03 24 35 02 69",,,"ot.cretes@wanadoo.fr",,"http://www.sud-ardennes-tourisme.com",,"49.6636","4.755175",,,,"Vélo dans le Pays des Sources et dans les Crêtes",,"Cette boucle à vélo comporte de nombreux points dintérêt touristique : Elan, sa Manse Abbatiale et son site abbatial, le Musée des Spahis à la Horgne et le Domaine de Vendresse avec son Haut Fourneau.","32 km  2 h Niveau moyen A vélo · Situation : Elan à 15 km au sud-est de Charleville-Mézières · Balisage : non",,,,,,,,,,,,,,,,,"http://cnstlltn.com/master/747f81ca-597a-49a2-aa3b-010b85b33193/747f81ca-597a-49a2-aa3b-010b85b33193_134.jpg","http://cnstlltn.com/master/6279719c-2557-4d29-bf9d-0bf875b1438a/6279719c-2557-4d29-bf9d-0bf875b1438a_134.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"français",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ITICHA0080000180","Balade à vélo: En suivant la voie touristique trans-semoysienne","Itinéraires touristiques","Cyclotouriste",,"Circuit",,"Naturel",,,,,,,8800,"MONTHERME","FRANCE","03 24 54 46 73",,,,,"http://www.meuse-semoy-tourisme.com",,"49.88685","4.730618",,,,"Balade à vélo: En suivant la voie touristique trans-semoysienne",,"Cette boucle offre les plus belles vues sur la pittoresque vallée de la Semoy, eau vive de lArdenne, paradis des randonneurs et des amoureux de la nature. Cette piste cyclable relie Monthermé (passage de la Voie Verte) à la frontière belge en longeant la Semoy. Ce circuit en boucle vous permet de revenir sur vos pas au départ de Monthermé.","15 km  2 heuresNiveau moyen&gt; Situation : Monthermé à 18 km au nord de Charleville-Mézières&gt; Balisage : oui",,,,,,,,,,,,,,,,,"http://cnstlltn.com/master/e1df8c86-7c0c-4dfa-9920-ab42bb621098/montherme_thilay_velo_printhd.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"français",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ITICHA0080000179","Balade à vélo: Entre Pays des Sources et Crêtes","Itinéraires touristiques","Cyclotouriste",,"Circuit",,"Naturel",,,,,,,8000,"CHARLEVILLE MEZIERES","FRANCE","03 24 56 06 08",,,,,"http://www.charleville-tourisme.com",,"49.77932","4.718441",,,,"Entre Pays des Sources et Crêtes",,"En traversant le Pays des Sources, charmant territoire à la campagne, vous apprécierez son patrimoine bâti, religieux et militaire. Puis, vous découvrirez un pays de lumières résultant dun patchwork darbres, de ciels, de collines et deaux Au cur des Ardennes, cette balade est une invitation à revenir","45 km - 3 hNiveau : famille&gt; Dénivelé positif : 490 m  Dénivelé négatif : - 487 m&gt; Départ : Charleville-Mézières - Direction Villers-Semeuse, Flize",,,,,,,,,,,,,,,,,"http://cnstlltn.com/master/7a0aecec-bee4-433b-a5b8-fb410636b014/charleville_villerstilleul_velo_printhd.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"français",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
